i,j,pair_type,condition_i,condition_j,branch_i,branch_j,success_i,success_j,d_vis,d_prop,d_act,d_contact,d_future,success_diff,branch_diff,is_ccda,is_impact_ccda
0,1,A_vs_B,free_insert,right_hidden_jam,success_insert,half_insert_wrong_angle,1.0,0.0,0.014839709609933017,0.00010273007120170066,2.025983473917058e-05,35.351555128909816,0.03158556281469089,1.0,1.0,1.0,1.0
0,2,A_vs_A,free_insert,free_insert,success_insert,success_insert,1.0,1.0,0.00018191947881046223,0.0001315145041273202,9.60171063718244e-06,0.7078341159824667,0.0002456298978768579,0.0,0.0,0.0,0.0
0,3,A_vs_B,free_insert,right_hidden_jam,success_insert,success_insert,1.0,1.0,0.014566162265942791,0.0005800316023903018,5.423154850430574e-06,35.46062449253918,0.031087163906573602,0.0,0.0,1.0,0.0
0,4,A_vs_A,free_insert,free_insert,success_insert,success_insert,1.0,1.0,0.0001170914470000127,6.263784412629738e-05,1.0709364339654589e-05,0.7072095024001748,9.744943621314623e-05,0.0,0.0,0.0,0.0
0,5,A_vs_B,free_insert,right_hidden_jam,success_insert,half_insert_wrong_angle,1.0,0.0,0.01470118570251876,5.9456981670131524e-05,1.2302101520285678e-05,35.47441820472305,0.03126695863498708,1.0,1.0,1.0,1.0
0,6,A_vs_A,free_insert,free_insert,success_insert,success_insert,1.0,1.0,0.0014083212397625789,0.0010682688178120646,2.5049701600145934e-05,0.7077841670557891,0.0016480483854269003,0.0,0.0,0.0,0.0
0,7,A_vs_B,free_insert,right_hidden_jam,success_insert,half_insert_wrong_angle,1.0,0.0,0.014968922006063512,0.0003157222638243312,1.256460343593298e-05,35.290868504172465,0.03181432929424477,1.0,1.0,1.0,1.0
1,2,A_vs_B,right_hidden_jam,free_insert,half_insert_wrong_angle,success_insert,0.0,1.0,0.01488420912273173,0.00011550417867212931,1.5403209038069147e-05,35.3559739175836,0.03169372848093805,1.0,1.0,1.0,1.0
1,3,B_vs_B,right_hidden_jam,right_hidden_jam,half_insert_wrong_angle,success_insert,0.0,1.0,0.0010735789773414852,0.0006269002941851555,2.4974982958367264e-05,0.37510552073128733,0.0011234871301159725,1.0,1.0,0.0,0.0
1,4,A_vs_B,right_hidden_jam,free_insert,half_insert_wrong_angle,success_insert,0.0,1.0,0.0148102667933611,7.099768691745155e-05,1.489704334463979e-05,35.34438176390971,0.0315171594739201,1.0,1.0,1.0,1.0
1,5,B_vs_B,right_hidden_jam,right_hidden_jam,half_insert_wrong_angle,half_insert_wrong_angle,0.0,0.0,0.00020432709435019522,5.6120513423932267e-05,9.57654324783904e-06,1.7735062371793904,0.0003610945159273099,0.0,0.0,0.0,0.0
1,6,A_vs_B,right_hidden_jam,free_insert,half_insert_wrong_angle,success_insert,0.0,1.0,0.014555638197476416,0.0010398946820851904,3.746319495593078e-05,35.35532446268885,0.0310012744885876,1.0,1.0,1.0,1.0
1,7,B_vs_B,right_hidden_jam,right_hidden_jam,half_insert_wrong_angle,half_insert_wrong_angle,0.0,0.0,0.0004483185575364396,0.0002956835444177091,2.2862789944214715e-05,0.06076307297697295,0.0005126040076758706,0.0,0.0,0.0,0.0
2,3,A_vs_B,free_insert,right_hidden_jam,success_insert,success_insert,1.0,1.0,0.014621547227922136,0.0007055341454160973,1.1807075766558437e-05,35.47217109030183,0.031201834861785193,0.0,0.0,1.0,0.0
2,4,A_vs_A,free_insert,free_insert,success_insert,success_insert,1.0,1.0,0.00017801377116537066,0.00011136779368701487,1.4711113412736088e-05,0.020026918543034934,0.00025758083612722034,0.0,0.0,0.0,0.0
2,5,A_vs_B,free_insert,right_hidden_jam,success_insert,half_insert_wrong_angle,1.0,0.0,0.014746930087689368,0.00013535234955365863,1.2206377185293432e-05,35.51414548484795,0.031375497111352096,1.0,1.0,1.0,1.0
2,6,A_vs_A,free_insert,free_insert,success_insert,success_insert,1.0,1.0,0.0012585014898090976,0.0009485008330458956,3.414301384814773e-05,0.0011216713459661787,0.001506661458739166,0.0,0.0,0.0,0.0
2,7,A_vs_B,free_insert,right_hidden_jam,success_insert,half_insert_wrong_angle,1.0,0.0,0.0150090640376827,0.00019013753163797976,7.72144938357759e-06,35.29526235591629,0.03191958345487004,1.0,1.0,1.0,1.0
3,4,A_vs_B,right_hidden_jam,free_insert,success_insert,success_insert,1.0,1.0,0.014542992197614912,0.0006211109302173126,1.6046250827958676e-05,35.46055890653213,0.03102044940131244,0.0,0.0,1.0,0.0
3,5,B_vs_B,right_hidden_jam,right_hidden_jam,success_insert,half_insert_wrong_angle,1.0,0.0,0.000916802696507935,0.0005879685561392021,1.7616583561908078e-05,1.4143348191417258,0.0009362079243781078,1.0,1.0,0.0,0.0
