i,j,pair_type,condition_i,condition_j,branch_i,branch_j,success_i,success_j,d_vis,d_prop,d_act,d_contact,d_future,success_diff,branch_diff,is_ccda,is_impact_ccda
0,1,A_vs_B,free_insert,right_hidden_jam,success_insert,success_insert,1.0,1.0,2.238098697023573e-05,0.0,0.0,0.35355339059414675,0.0008582020095709152,0.0,0.0,0.0,0.0
0,2,A_vs_A,free_insert,free_insert,success_insert,success_insert,1.0,1.0,2.3330457638244234e-05,0.0,0.0,1.9315552665554965e-06,7.415132867405933e-05,0.0,0.0,0.0,0.0
0,3,A_vs_B,free_insert,right_hidden_jam,success_insert,success_insert,1.0,1.0,3.486251740844757e-06,0.0,0.0,0.35355339059530183,0.0008693838267685221,0.0,0.0,0.0,0.0
0,4,A_vs_A,free_insert,free_insert,success_insert,success_insert,1.0,1.0,9.287343817844433e-06,0.0,0.0,1.0680565621429607e-06,2.8629985535798695e-05,0.0,0.0,0.0,0.0
0,5,A_vs_B,free_insert,right_hidden_jam,success_insert,success_insert,1.0,1.0,4.435256844527998e-06,0.0,0.0,0.35355339059506674,0.0008682226356381711,0.0,0.0,0.0,0.0
0,6,A_vs_A,free_insert,free_insert,success_insert,success_insert,1.0,1.0,5.827396051239714e-05,0.0,0.0,2.6672460977539287e-06,0.0001889023090855927,0.0,0.0,0.0,0.0
0,7,A_vs_B,free_insert,right_hidden_jam,success_insert,success_insert,1.0,1.0,3.0433875985615284e-05,0.0,0.0,0.35355339059731555,0.0008531754415696689,0.0,0.0,0.0,0.0
1,2,A_vs_B,right_hidden_jam,free_insert,success_insert,success_insert,1.0,1.0,3.324908722638982e-06,0.0,0.0,0.3535533905951307,0.0008747042077014997,0.0,0.0,0.0,0.0
1,3,B_vs_B,right_hidden_jam,right_hidden_jam,success_insert,success_insert,1.0,1.0,2.0466398530346284e-05,0.0,0.0,4.1184432612473607e-07,7.10271100271241e-05,0.0,0.0,0.0,0.0
1,4,A_vs_B,right_hidden_jam,free_insert,success_insert,success_insert,1.0,1.0,3.110606824530857e-05,0.0,0.0,0.35355339059338653,0.0008534441344872039,0.0,0.0,0.0,0.0
1,5,B_vs_B,right_hidden_jam,right_hidden_jam,success_insert,success_insert,1.0,1.0,1.9122918561399236e-05,0.0,0.0,3.4030453819947864e-07,6.709936111474098e-05,0.0,0.0,0.0,0.0
1,6,A_vs_B,right_hidden_jam,free_insert,success_insert,success_insert,1.0,1.0,8.037573561006384e-05,0.0,0.0,0.3535533905982805,0.0008445744352091916,0.0,0.0,0.0,0.0
1,7,B_vs_B,right_hidden_jam,right_hidden_jam,success_insert,success_insert,1.0,1.0,8.210012259550769e-06,0.0,0.0,9.048891023611693e-07,2.6573465099727447e-05,0.0,0.0,0.0,0.0
2,3,A_vs_B,free_insert,right_hidden_jam,success_insert,success_insert,1.0,1.0,2.100498040694843e-05,0.0,0.0,0.3535533905940358,0.0008909060246905988,0.0,0.0,0.0,0.0
2,4,A_vs_A,free_insert,free_insert,success_insert,success_insert,1.0,1.0,3.1606396443382695e-05,0.0,0.0,8.63498704412536e-07,0.00010275538012379403,0.0,0.0,0.0,0.0
2,5,A_vs_B,free_insert,right_hidden_jam,success_insert,success_insert,1.0,1.0,1.9648878470819995e-05,0.0,0.0,0.3535533905941915,0.0008893978326087763,0.0,0.0,0.0,0.0
2,6,A_vs_A,free_insert,free_insert,success_insert,success_insert,1.0,1.0,8.072492769031695e-05,0.0,0.0,7.356908311984322e-07,0.0002630323933867138,0.0,0.0,0.0,0.0
2,7,A_vs_B,free_insert,right_hidden_jam,success_insert,success_insert,1.0,1.0,7.403605997351148e-06,0.0,0.0,0.3535533905933559,0.0008675406681599364,0.0,0.0,0.0,0.0
3,4,A_vs_B,right_hidden_jam,free_insert,success_insert,success_insert,1.0,1.0,1.0647839546058595e-05,0.0,0.0,0.3535533905932975,0.0008626126288506777,0.0,0.0,0.0,0.0
3,5,B_vs_B,right_hidden_jam,right_hidden_jam,success_insert,success_insert,1.0,1.0,1.3610511005769093e-06,0.0,0.0,7.153978792525744e-08,4.503743262937099e-06,0.0,0.0,0.0,0.0
3,6,A_vs_B,right_hidden_jam,free_insert,success_insert,success_insert,1.0,1.0,5.9910225570463195e-05,0.0,0.0,0.3535533905963286,0.0008419992363535811,0.0,0.0,0.0,0.0
3,7,B_vs_B,right_hidden_jam,right_hidden_jam,success_insert,success_insert,1.0,1.0,2.8287851148070893e-05,0.0,0.0,4.930447762364331e-07,9.508187690949152e-05,0.0,0.0,0.0,0.0
4,5,A_vs_B,free_insert,right_hidden_jam,success_insert,success_insert,1.0,1.0,1.1998543402302233e-05,0.0,0.0,0.3535533905932785,0.0008615918856871989,0.0,0.0,0.0,0.0
4,6,A_vs_A,free_insert,free_insert,success_insert,success_insert,1.0,1.0,4.927456755580516e-05,0.0,0.0,1.5991895356109682e-06,0.0001602805026584073,0.0,0.0,0.0,0.0
4,7,A_vs_B,free_insert,right_hidden_jam,success_insert,success_insert,1.0,1.0,3.8921187513321916e-05,0.0,0.0,0.3535533905938218,0.0008492700301778559,0.0,0.0,0.0,0.0
5,6,A_vs_B,right_hidden_jam,free_insert,success_insert,success_insert,1.0,1.0,6.125446597627033e-05,0.0,0.0,0.35355339059663327,0.000841811034299931,0.0,0.0,0.0,0.0
5,7,B_vs_B,right_hidden_jam,right_hidden_jam,success_insert,success_insert,1.0,1.0,2.6931887588638042e-05,0.0,0.0,5.645845641616906e-07,9.089878389996475e-05,0.0,0.0,0.0,0.0
6,7,A_vs_B,free_insert,right_hidden_jam,success_insert,success_insert,1.0,1.0,8.809802343211586e-05,0.0,0.0,0.35355339059462276,0.0008453267891321751,0.0,0.0,0.0,0.0
