visible_seed,condition_a,condition_b,file_a,file_b,initial_chamfer,initial_ordered_l2,action_distance,rgb_mean_abs_diff,rgb_max_abs_diff,depth_mean_abs_diff,depth_max_abs_diff,final_chamfer,final_ordered_l2,trajectory_chamfer,contact_diff,success_a,success_b,success_diff,final_fraction_a,final_fraction_b,final_curve_a,final_curve_b,branch_a,branch_b,visible_pass,action_pass,contact_pass,future_pass,ccda_state,ccda_success,failure_reason
0,free,hidden_pin,000000-9.pkl,000000-1.pkl,9.785133443074301e-05,4.8925667215371504e-05,4.975100200209017e-08,0.000539279542863369,53.0,1.9673956330734654e-07,0.0106581449508667,0.20195704698562622,0.14754392206668854,0.0795554369688034,True,True,False,True,1.0,0.0,0.004003699868917465,0.01109615620225668,success_line,pinned_bend,True,True,True,True,True,True,ccda_state
0,free,hidden_high_friction,000000-9.pkl,000000-6.pkl,0.0003622347430791706,0.0001811173715395853,1.327471772447688e-07,0.002865668386220932,105.0,1.0444690587974037e-06,0.024972140789031982,0.025410182774066925,0.020913556218147278,0.0165190229502817,True,True,True,False,1.0,1.0,0.004003699868917465,0.004212762229144573,success_line,weak_contact_success,True,True,True,False,False,False,future_not_different
0,hidden_pin,hidden_high_friction,000000-1.pkl,000000-6.pkl,0.00040880925371311605,0.00020440462685655802,1.1118360120022983e-07,0.0031684027053415775,105.0,1.1408104683141573e-06,0.025354087352752686,0.1814958155155182,0.13201792538166046,0.09723124653100967,True,False,True,True,0.0,1.0,0.01109615620225668,0.004212762229144573,pinned_bend,weak_contact_success,True,True,True,True,True,True,ccda_state
1,free,hidden_pin,000001-4.pkl,000001-1.pkl,5.975610110908747e-05,2.9878050554543734e-05,5.708936040211082e-07,0.000167100690305233,1.0,1.0951402629189033e-07,0.00030744075775146484,0.7065567970275879,0.4524337351322174,0.6728601455688477,True,True,False,True,1.0,0.0,0.0037665662821382284,0.013933178968727589,success_line,pinned_bend,True,True,True,True,True,True,ccda_state
1,free,hidden_high_friction,000001-4.pkl,000001-4.pkl,0.00017600726278033108,8.800363139016554e-05,5.151040650988844e-07,0.0007660590345039964,57.0,2.3051610753554996e-07,0.006247878074645996,0.0203392431139946,0.015684405341744423,0.021581109147518873,True,True,True,False,1.0,1.0,0.0037665662821382284,0.002890439936891198,success_line,weak_contact_success,True,True,True,False,False,False,future_not_different
1,hidden_pin,hidden_high_friction,000001-1.pkl,000001-4.pkl,0.00015326337597798556,7.663168798899278e-05,7.648251592801497e-08,0.0007400173344649374,57.0,1.9327329425777862e-07,0.006080269813537598,0.6818637847900391,0.4407462775707245,0.7999424338340759,True,False,True,True,0.0,1.0,0.013933178968727589,0.002890439936891198,pinned_bend,weak_contact_success,True,True,True,True,True,True,ccda_state
2,free,hidden_pin,000002-6.pkl,000002-1.pkl,7.239668775582686e-05,3.619834387791343e-05,5.602115533139266e-07,0.00023437499476131052,78.0,1.240880607156214e-07,0.009151816368103027,0.2451370656490326,0.19519193470478058,0.20344898104667664,True,True,False,True,1.0,0.0,0.0022835840936750174,0.015449763275682926,success_line,pinned_bend,True,True,True,True,True,True,ccda_state
2,free,hidden_high_friction,000002-6.pkl,000002-6.pkl,0.0005556599353440106,0.0002778299676720053,3.1479272342063244e-07,0.0023231336381286383,98.0,1.296764480684942e-06,0.027084946632385254,0.01858137920498848,0.013699513860046864,0.018822448949019115,True,True,True,False,1.0,1.0,0.0022835840936750174,0.005415129009634256,success_line,weak_contact_success,True,True,True,False,False,False,future_not_different
2,hidden_pin,hidden_high_friction,000002-1.pkl,000002-6.pkl,0.000573798781260848,0.000286899390630424,3.199173599049183e-07,0.0021690537687391043,98.0,1.2248005987203214e-06,0.027084946632385254,0.25146663188934326,0.20404599606990814,0.19536234438419342,True,False,True,True,0.0,1.0,0.015449763275682926,0.005415129009634256,pinned_bend,weak_contact_success,True,True,True,True,True,True,ccda_state
3,free,hidden_pin,000003-3.pkl,000003-20.pkl,0.00011746954260161147,5.873477130080573e-05,3.87246756589149e-07,0.000668402761220932,91.0,3.0332964229273784e-07,0.026467978954315186,0.157953143119812,0.17050862312316895,0.13820150991280875,True,True,False,True,1.0,0.0,0.0037620507646352053,0.011371787637472153,success_line,pinned_bend,True,True,True,True,True,True,ccda_state
3,free,hidden_high_friction,000003-3.pkl,000003-2.pkl,0.00031887003569863737,0.00015943501784931868,6.285314251632466e-07,0.001489800401031971,100.0,5.770880306954496e-07,0.019331395626068115,0.015235578641295433,0.017027324065566063,0.015843281522393227,True,True,True,False,1.0,1.0,0.0037620507646352053,0.0033699246123433113,success_line,weak_contact_success,True,True,True,False,False,False,future_not_different
3,hidden_pin,hidden_high_friction,000003-20.pkl,000003-2.pkl,0.0003021460142917931,0.00015107300714589655,7.633656447045747e-07,0.0013986545382067561,101.0,5.61712681701465e-07,0.026467978954315186,0.16504836082458496,0.16795599460601807,0.14323818683624268,True,False,True,True,0.0,1.0,0.011371787637472153,0.0033699246123433113,pinned_bend,weak_contact_success,True,True,True,True,True,True,ccda_state
4,free,hidden_pin,000004-7.pkl,000004-1.pkl,6.312293407972902e-05,3.156146703986451e-05,1.845373962960484e-07,0.00034722223062999547,34.0,1.3228854811586643e-07,0.0011001229286193848,0.42144694924354553,0.24681372940540314,0.3409407138824463,True,True,False,True,1.0,0.0,0.00433123204857111,0.013283107429742813,success_line,pinned_bend,True,True,True,True,True,True,ccda_state
4,free,hidden_high_friction,000004-7.pkl,000004-4.pkl,0.0004610428586602211,0.00023052142933011055,1.6857549261268495e-07,0.005302734207361937,117.0,1.8989475165653857e-06,0.029581427574157715,0.018589895218610764,0.017574550583958626,0.022453985642641783,True,True,True,False,1.0,1.0,0.00433123204857111,0.006053811404854059,success_line,weak_contact_success,True,True,True,False,False,False,future_not_different
4,hidden_pin,hidden_high_friction,000004-1.pkl,000004-4.pkl,0.00045388596481643617,0.00022694298240821809,6.520198817801807e-08,0.0053634983487427235,117.0,1.8446606873112614e-06,0.029581427574157715,0.4121096134185791,0.23738126456737518,0.3933402895927429,True,False,True,True,0.0,1.0,0.013283107429742813,0.006053811404854059,pinned_bend,weak_contact_success,True,True,True,True,True,True,ccda_state
5,free,hidden_pin,000005-2.pkl,000005-20.pkl,7.178867963375524e-05,3.589433981687762e-05,2.8999256283459072e-08,0.0009537760633975267,68.0,2.822836790983274e-07,0.017320454120635986,0.20922808349132538,0.20465199649333954,0.20625187456607819,True,True,False,True,1.0,0.125,0.001772611285559833,0.015979046002030373,success_line,pinned_bend,True,True,True,True,True,True,ccda_state
5,free,hidden_high_friction,000005-2.pkl,000005-4.pkl,0.0003059457230847329,0.00015297286154236645,7.892277998117996e-07,0.004012587014585733,95.0,1.0855328582692891e-06,0.01725250482559204,0.015788046643137932,0.014571177773177624,0.014698258135467768,True,True,True,False,1.0,1.0,0.001772611285559833,0.005076387897133827,success_line,weak_contact_success,True,True,True,False,False,False,future_not_different
