idm_policy,future_source,future_source_uses_condition_label,condition,visible_seed,episode_idx,step_idx,fraction_before,fraction_after,fraction_delta,done_after,reward,model_x_ood_l2,model_x_ood_mean_abs,input_nn_l2,future_std_mean,future_norm,future_nn_l2,future_nn_mae,future_nearest_condition,future_condition_match,chosen_sample_idx,retrieval_index,action_ood,clip_frac,pose0_x,pose0_y,pose1_x,pose1_y,pull_len,pose0_step_delta,pose1_step_delta,scope
phase39b_xy_only_high_weight,ddpm_mean,0,free,311000,0,0,0.5,0.25,-0.25,0,-0.25,nan,nan,0.010705999098718166,0.04020591452717781,0.45865166187286377,0.04590155929327011,0.019511394202709198,hidden_high_friction,0,-1,-1,0.3216981589794159,0.0,0.5402494072914124,-0.2090294063091278,0.530847430229187,0.008985739201307297,0.21821779012680054,nan,nan,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311000,0,1,0.25,0.041666666666666664,-0.20833333333333334,0,-0.20833333333333334,nan,nan,0.06901174038648605,0.039804697036743164,0.45936739444732666,0.04741256311535835,0.020055869594216347,hidden_high_friction,0,-1,-1,0.15768752992153168,0.0,0.5310524106025696,-0.13180327415466309,0.5222461223602295,-0.007238442078232765,0.12487573176622391,0.07777184247970581,0.018363185226917267,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311000,0,2,0.041666666666666664,0.0,-0.041666666666666664,0,-0.041666666666666664,nan,nan,0.06136610358953476,0.03902324289083481,0.4563484489917755,0.046807125210762024,0.024753006175160408,hidden_breakaway_pin,0,-1,-1,0.1398070752620697,0.0,0.5378319025039673,-0.07493232190608978,0.5295472145080566,-0.03331172838807106,0.042437128722667694,0.057273611426353455,0.027076229453086853,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311000,0,3,0.0,0.0,0.0,0,0.0,nan,nan,0.05347222089767456,0.03147505223751068,0.4640260338783264,0.06301134824752808,0.02964230626821518,hidden_high_friction,0,-1,-1,0.1779656708240509,0.0,0.5238350033760071,-0.06694227457046509,0.49735990166664124,-0.13386443257331848,0.07196878641843796,0.01611688733100891,0.10557873547077179,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311000,0,4,0.0,0.0,0.0,0,0.0,nan,nan,0.04938617721199989,0.030319157987833023,0.46332162618637085,0.06576606631278992,0.030781591311097145,hidden_high_friction,0,-1,-1,0.10910994559526443,0.0,0.4958671033382416,-0.012185977771878242,0.471154123544693,-0.029041077941656113,0.029913639649748802,0.0614854097366333,0.1080494225025177,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311000,0,5,0.0,0.0,0.0,0,0.0,nan,nan,0.046042922884225845,0.028752095997333527,0.4513570964336395,0.06646687537431717,0.03224089741706848,hidden_high_friction,0,-1,-1,0.314482718706131,0.0,0.5425436496734619,0.06903403252363205,0.5431655049324036,0.13000689446926117,0.06097603589296341,0.09367705136537552,0.17459066212177277,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311000,0,6,0.0,0.0,0.0,0,0.0,nan,nan,0.05478079617023468,0.040227822959423065,0.45849183201789856,0.04542815685272217,0.019348084926605225,hidden_high_friction,0,-1,-1,0.12049534916877747,0.0,0.5472297072410583,-0.00017579272389411926,0.5163149833679199,0.012329265475273132,0.03334811329841614,0.06936828792095184,0.12070201337337494,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311000,0,7,0.0,0.0,0.0,0,0.0,nan,nan,0.06010380759835243,0.04011112451553345,0.4551193118095398,0.04226813092827797,0.0187528058886528,hidden_high_friction,0,-1,-1,0.15298345685005188,0.0,0.5436841249465942,-0.02075004391372204,0.5395596027374268,0.031209588050842285,0.05212307721376419,0.020877523347735405,0.02994626760482788,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311000,0,8,0.0,0.0,0.0,0,0.0,nan,nan,0.0531751848757267,0.04041428864002228,0.45841550827026367,0.0438246950507164,0.018409788608551025,hidden_high_friction,0,-1,-1,0.06717772781848907,0.0,0.5341450572013855,-0.025944942608475685,0.5175737142562866,-0.018540699034929276,0.018150268122553825,0.010861895978450775,0.05439181998372078,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311000,0,9,0.0,0.0,0.0,0,0.0,nan,nan,0.052459292113780975,0.04021262377500534,0.4578709900379181,0.045862600207328796,0.020194660872220993,hidden_high_friction,0,-1,-1,0.0723046064376831,0.0,0.5388067960739136,-0.00889335386455059,0.5172299146652222,-0.012176988646388054,0.021825307980179787,0.017677342519164085,0.0063729905523359776,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311000,0,10,0.0,0.0,0.0,0,0.0,nan,nan,0.05217645689845085,0.03998269885778427,0.45551759004592896,0.04282764717936516,0.01861076056957245,hidden_high_friction,0,-1,-1,0.12602169811725616,0.0,0.5448036789894104,0.005286131054162979,0.5377135276794434,-0.0046683140099048615,0.012221342884004116,0.015395467169582844,0.021816475316882133,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311000,0,11,0.0,0.0,0.0,0,0.0,nan,nan,0.05312073603272438,0.03985653445124626,0.4595004916191101,0.046347904950380325,0.01997384987771511,hidden_high_friction,0,-1,-1,0.10535803437232971,0.0,0.5421575307846069,-0.027027957141399384,0.5309308767318726,-0.03771546483039856,0.015500341542065144,0.032422251999378204,0.03373601287603378,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311000,0,12,0.0,0.0,0.0,0,0.0,nan,nan,0.05401020497083664,0.03873336315155029,0.459786057472229,0.049943793565034866,0.021234914660453796,hidden_high_friction,0,-1,-1,0.10927922278642654,0.0,0.5336145162582397,-0.024562131613492966,0.525416910648346,-0.005510043352842331,0.020740848034620285,0.008891759440302849,0.03267404064536095,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311000,0,13,0.0,0.0,0.0,0,0.0,nan,nan,0.05122673138976097,0.03799300640821457,0.45782655477523804,0.05019022524356842,0.022185442969202995,hidden_high_friction,0,-1,-1,0.09401243180036545,0.0,0.5334829092025757,-0.020081929862499237,0.5243391990661621,-0.021771617233753204,0.009298520162701607,0.004482134245336056,0.016297247260808945,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311000,0,14,0.0,0.0,0.0,0,0.0,nan,nan,0.051965586841106415,0.03728530928492546,0.45601144433021545,0.04892190918326378,0.02326047047972679,hidden_high_friction,0,-1,-1,0.1759161502122879,0.0,0.5478893518447876,0.006662856787443161,0.5363126397132874,0.03737587481737137,0.032822396606206894,0.030378103256225586,0.060347236692905426,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311000,0,15,0.0,0.0,0.0,0,0.0,nan,nan,0.05298267677426338,0.03952649608254433,0.45519837737083435,0.04347521811723709,0.019515734165906906,hidden_high_friction,0,-1,-1,0.11302389949560165,0.0,0.5420056581497192,-0.00978105142712593,0.536113440990448,-0.006981015205383301,0.006523681804537773,0.01746482029557228,0.044357337057590485,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311001,1,0,0.0,0.0,0.0,0,0.0,nan,nan,0.01537332683801651,0.03944628685712814,0.4579671025276184,0.04620508849620819,0.01962316781282425,hidden_high_friction,0,-1,-1,0.6188997626304626,0.0,0.4340791404247284,-0.4274962842464447,0.5303122997283936,0.05401501804590225,0.49103355407714844,nan,nan,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311001,1,1,0.0,0.0,0.0,0,0.0,nan,nan,0.11513213813304901,0.03944145515561104,0.45745500922203064,0.045403655618429184,0.024443117901682854,hidden_breakaway_pin,0,-1,-1,0.32389941811561584,0.0,0.4624072313308716,-0.2215024083852768,0.5197111368179321,-0.020094655454158783,0.20940110087394714,0.20793257653713226,0.07486406713724136,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311001,1,2,0.0,0.0,0.0,0,0.0,nan,nan,0.09543213993310928,0.03966297581791878,0.4588485062122345,0.04755717143416405,0.025345010682940483,hidden_breakaway_pin,0,-1,-1,0.2688264548778534,0.0,0.4961110055446625,-0.10860630124807358,0.5218473672866821,-0.024411655962467194,0.0880403220653534,0.11781967431306839,0.004816635046154261,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311001,1,3,0.0,0.0,0.0,0,0.0,nan,nan,0.03650042414665222,0.03959006071090698,0.4573051631450653,0.045276883989572525,0.02370317652821541,hidden_breakaway_pin,0,-1,-1,0.16868095099925995,0.0,0.5467902421951294,0.02062891609966755,0.5327230095863342,0.009548898786306381,0.017906809225678444,0.13881687819957733,0.035659484565258026,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311001,1,4,0.0,0.0,0.0,0,0.0,nan,nan,0.05145256966352463,0.04005695506930351,0.4574012756347656,0.041879814118146896,0.018742885440587997,hidden_high_friction,0,-1,-1,0.17725969851016998,0.0,0.5509084463119507,0.046675682067871094,0.515395998954773,0.03342866152524948,0.03790273517370224,0.026370316743850708,0.029503699392080307,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311001,1,5,0.0,0.0,0.0,0,0.0,nan,nan,0.05334855988621712,0.04028983414173126,0.45832839608192444,0.044481150805950165,0.019275281578302383,hidden_high_friction,0,-1,-1,0.14844171702861786,0.0,0.5352247357368469,0.014246372506022453,0.511234700679779,0.014287009835243225,0.023990068584680557,0.03602275252342224,0.01958875171840191,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311001,1,6,0.0,0.0,0.0,0,0.0,nan,nan,0.05313997343182564,0.040134020149707794,0.45468199253082275,0.04197805002331734,0.018633637577295303,hidden_high_friction,0,-1,-1,0.20056188106536865,0.0,0.5432932376861572,0.017371339723467827,0.54410719871521,0.05404685437679291,0.0366845428943634,0.0086525222286582,0.051589205861091614,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311001,1,7,0.0,0.0,0.0,0,0.0,nan,nan,0.05112849920988083,0.04041898250579834,0.4583602249622345,0.043239742517471313,0.01827690377831459,hidden_high_friction,0,-1,-1,0.09508277475833893,0.0,0.5234401226043701,-0.00923379696905613,0.5017504692077637,0.0060395747423172,0.026527663692831993,0.03319607675075531,0.06402180343866348,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311001,1,8,0.0,0.0,0.0,0,0.0,nan,nan,0.04965484142303467,0.04024696350097656,0.45750513672828674,0.04453929141163826,0.019565291702747345,hidden_high_friction,0,-1,-1,0.09534649550914764,0.0,0.5294957160949707,0.0037272851914167404,0.5216765403747559,0.0093299001455307,0.00961918942630291,0.01430593803524971,0.02019590511918068,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311001,1,9,0.0,0.0,0.0,0,0.0,nan,nan,0.049842916429042816,0.03987894952297211,0.4546288847923279,0.04306138679385185,0.018996765837073326,hidden_high_friction,0,-1,-1,0.1907525658607483,0.0,0.5324144959449768,0.023107053712010384,0.5436310768127441,0.037022776901721954,0.01787341758608818,0.019598333165049553,0.03533973917365074,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311001,1,10,0.0,0.0,0.0,0,0.0,nan,nan,0.04993772134184837,0.04009575769305229,0.45835748314857483,0.04456712305545807,0.018830236047506332,hidden_high_friction,0,-1,-1,0.12638114392757416,0.0,0.5317918658256531,-0.004611780866980553,0.5328198075294495,-0.0015125684440135956,0.0032652385998517275,0.02772582694888115,0.04002320021390915,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311001,1,11,0.0,0.0,0.0,0,0.0,nan,nan,0.05033423379063606,0.0398750975728035,0.4579922556877136,0.047179266810417175,0.019776202738285065,hidden_high_friction,0,-1,-1,0.15196125209331512,0.0,0.5305384397506714,0.005944749340415001,0.5380330085754395,0.013205107301473618,0.010434622876346111,0.010630682110786438,0.015613693743944168,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311001,1,12,0.0,0.0,0.0,0,0.0,nan,nan,0.04894236847758293,0.04025422781705856,0.4565524756908417,0.04500938579440117,0.019204193726181984,hidden_high_friction,0,-1,-1,0.14319400489330292,0.0,0.5280489325523376,0.0035322383046150208,0.5419471263885498,0.0003837794065475464,0.014250353910028934,0.003466677851974964,0.013405474834144115,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311001,1,13,0.0,0.0,0.0,0,0.0,nan,nan,0.05021972954273224,0.03998769819736481,0.45729541778564453,0.045653361827135086,0.019436387345194817,hidden_high_friction,0,-1,-1,0.11798961460590363,0.0,0.5312374234199524,0.010471677407622337,0.5297608375549316,0.013676416128873825,0.0035285488702356815,0.007636903319507837,0.01803329773247242,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311001,1,14,0.0,0.0,0.0,0,0.0,nan,nan,0.04999231547117233,0.039998020976781845,0.4556528329849243,0.04220490902662277,0.018786583095788956,hidden_high_friction,0,-1,-1,0.1823868751525879,0.0,0.5336464643478394,0.010038519278168678,0.5457905530929565,0.01811879128217697,0.01458662748336792,0.002447673352435231,0.0166338961571455,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311001,1,15,0.0,0.0,0.0,0,0.0,nan,nan,0.050848376005887985,0.04027100279927254,0.45983925461769104,0.045499950647354126,0.0238441601395607,hidden_breakaway_pin,0,-1,-1,0.10742996633052826,0.0,0.517900288105011,-0.02865191549062729,0.5292172431945801,-0.03478807955980301,0.012873460538685322,0.04177189990878105,0.055441964417696,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311002,2,0,0.0,0.0,0.0,0,0.0,nan,nan,0.01923329010605812,0.039608828723430634,0.455612450838089,0.04427655041217804,0.019763756543397903,hidden_high_friction,0,-1,-1,0.668407678604126,0.0,0.3197093605995178,0.3607868254184723,0.5374933481216431,-0.07280080020427704,0.48520931601524353,nan,nan,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311002,2,1,0.0,0.0,0.0,0,0.0,nan,nan,0.11232011020183563,0.03970938175916672,0.4588582515716553,0.04720897600054741,0.02135496400296688,hidden_high_friction,0,-1,-1,0.39572209119796753,0.0,0.46947968006134033,0.156326025724411,0.5433559417724609,-0.04216933250427246,0.2117973268032074,0.2534469664096832,0.031187446787953377,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311002,2,2,0.0,0.0,0.0,0,0.0,nan,nan,0.10079841315746307,0.039359092712402344,0.4579083025455475,0.04666975885629654,0.023869633674621582,hidden_breakaway_pin,0,-1,-1,0.1951310783624649,0.0,0.4961533546447754,0.06080982834100723,0.5393831133842468,-0.037510719150304794,0.10740456730127335,0.09917070716619492,0.006122584920376539,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311002,2,3,0.0,0.0,0.0,0,0.0,nan,nan,0.05881357565522194,0.04011138901114464,0.4567561447620392,0.04113144800066948,0.018190566450357437,hidden_high_friction,0,-1,-1,0.1545492559671402,0.0,0.5277518630027771,0.011271120980381966,0.5286750197410583,0.022093474864959717,0.010861655697226524,0.05875839665532112,0.06055842712521553,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311002,2,4,0.0,0.0,0.0,0,0.0,nan,nan,0.046423327177762985,0.04014100134372711,0.45825856924057007,0.04493334889411926,0.019862940534949303,hidden_high_friction,0,-1,-1,0.14810322225093842,0.0,0.5297232866287231,0.0002783294767141342,0.5146387815475464,-0.0015300456434488297,0.015192515216767788,0.011168167926371098,0.027478842064738274,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311002,2,5,0.0,0.0,0.0,0,0.0,nan,nan,0.0454852432012558,0.040152039378881454,0.4559559226036072,0.04343896359205246,0.018920231610536575,hidden_high_friction,0,-1,-1,0.21508434414863586,0.0,0.5336536765098572,0.021774323657155037,0.5562872886657715,0.033908650279045105,0.025681165978312492,0.021852362900972366,0.054685454815626144,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311002,2,6,0.0,0.0,0.0,0,0.0,nan,nan,0.04969174787402153,0.040326423943042755,0.45993050932884216,0.043703481554985046,0.01986589841544628,hidden_high_friction,0,-1,-1,0.14843270182609558,0.0,0.5238509774208069,0.0034911632537841797,0.4935297667980194,-0.012798452749848366,0.034419868141412735,0.020745284855365753,0.07823081314563751,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311002,2,7,0.0,0.0,0.0,0,0.0,nan,nan,0.05002696067094803,0.03994795307517052,0.45761367678642273,0.045323047786951065,0.020124400034546852,hidden_high_friction,0,-1,-1,0.16694365441799164,0.0,0.5212068557739258,0.012660814449191093,0.5207005739212036,-0.014737428165972233,0.02740292064845562,0.009543263353407383,0.027239903807640076,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311002,2,8,0.0,0.0,0.0,0,0.0,nan,nan,0.04838840663433075,0.037212274968624115,0.4587005376815796,0.050660427659749985,0.02343582920730114,hidden_high_friction,0,-1,-1,0.2173733413219452,0.0,0.5246845483779907,0.012931158766150475,0.5521060824394226,-0.021175101399421692,0.04376274347305298,0.0034881846513599157,0.032058533281087875,phase3_11_future_source_swap_no_phase4_no_cps
phase39b_xy_only_high_weight,ddpm_mean,0,free,311002,2,9,0.0,0.0,0.0,0,0.0,nan,nan,0.04998340457677841,0.03774762898683548,0.4605465233325958,0.053329940885305405,0.024301718920469284,hidden_high_friction,0,-1,-1,0.08568024635314941,0.0,0.5254049897193909,-0.012914229184389114,0.5193741321563721,-0.030171072110533714,0.018280314281582832,0.025855427607893944,0.03394566476345062,phase3_11_future_source_swap_no_phase4_no_cps
