condition,visible_seed,seed_cohort,baseline_selector,selector,initial_fraction,baseline_delta,selector_delta,paired_delta_gain,baseline_final,selector_final,paired_final_gain,baseline_success,selector_success,paired_success_gain,baseline_pull,selector_pull,baseline_future_match,selector_future_match
free,312000,phase312_seed_block,ddpm_mean,ddpm_mean,0.375,-0.20833333333333334,-0.20833333333333334,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.06258957926183939,0.06258957926183939,0.0625,0.0625
free,312000,phase312_seed_block,ddpm_mean,condition_nearest_upper,0.375,-0.20833333333333334,-0.375,-0.16666666666666666,0.16666666666666666,0.0,-0.16666666666666666,0.0,0.0,0.0,0.06258957926183939,0.16107630915939808,0.0625,1.0
free,312000,phase312_seed_block,ddpm_mean,proxy_state_motion_nn,0.375,-0.20833333333333334,-0.16666666666666666,0.041666666666666685,0.16666666666666666,0.20833333333333334,0.041666666666666685,0.0,0.0,0.0,0.06258957926183939,0.1106006309564691,0.0625,0.25
free,312000,phase312_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.375,-0.20833333333333334,-0.375,-0.16666666666666666,0.16666666666666666,0.0,-0.16666666666666666,0.0,0.0,0.0,0.06258957926183939,0.1918627864215523,0.0625,0.125
free,312001,phase312_seed_block,ddpm_mean,ddpm_mean,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.055745246761944145,0.055745246761944145,0.0,0.0
free,312001,phase312_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.08333333333333333,0.0,-0.08333333333333333,0.08333333333333333,0.0,-0.08333333333333333,0.0,0.0,0.0,0.055745246761944145,0.10549730341881514,0.0,1.0
free,312001,phase312_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.055745246761944145,0.18201592518016696,0.0,0.25
free,312001,phase312_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.08333333333333333,0.125,0.04166666666666667,0.08333333333333333,0.125,0.04166666666666667,0.0,0.0,0.0,0.055745246761944145,0.25084660248830914,0.0,0.0
free,312002,phase312_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05126042492338456,0.05126042492338456,0.0,0.0
free,312002,phase312_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05126042492338456,0.06533756537828594,0.0,1.0
free,312002,phase312_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05126042492338456,0.08634133101440966,0.0,0.5
free,312002,phase312_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.05126042492338456,0.2093949664849788,0.0,0.0625
free,312003,phase312_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06983159264200367,0.06983159264200367,0.0625,0.0625
free,312003,phase312_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06983159264200367,0.09174576331861317,0.0625,1.0
free,312003,phase312_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.06983159264200367,0.15761234806268476,0.0625,0.125
free,312003,phase312_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06983159264200367,0.24824474332854152,0.0625,0.125
free,312500,phase312b_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09219162113731727,0.09219162113731727,0.0,0.0
free,312500,phase312b_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09219162113731727,0.08765020943246782,0.0,1.0
free,312500,phase312b_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09219162113731727,0.17691191844642162,0.0,0.3125
free,312500,phase312b_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09219162113731727,0.20595560362562537,0.0,0.125
free,312501,phase312b_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2138924701139331,0.2138924701139331,0.0,0.0
free,312501,phase312b_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.0,0.0,0.2138924701139331,0.057238694513216615,0.0,1.0
free,312501,phase312b_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.0,0.0,0.2138924701139331,0.14185893710236996,0.0,0.3125
free,312501,phase312b_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2138924701139331,0.3597725722938776,0.0,0.0625
free,312502,phase312b_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048354612896218896,0.048354612896218896,0.0,0.0
free,312502,phase312b_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048354612896218896,0.12942801252938807,0.0,1.0
free,312502,phase312b_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.0,0.0,0.048354612896218896,0.15127715584822,0.0,0.25
free,312502,phase312b_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.048354612896218896,0.23698766180314124,0.0,0.0
free,312503,phase312b_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07554489118047059,0.07554489118047059,0.0,0.0
free,312503,phase312b_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07554489118047059,0.16562085272744298,0.0,1.0
free,312503,phase312b_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.20833333333333334,0.20833333333333334,0.0,0.20833333333333334,0.20833333333333334,0.0,0.0,0.0,0.07554489118047059,0.2443382889032364,0.0,0.4375
