condition,visible_seed,seed_cohort,baseline_selector,selector,initial_state_max_abs_diff,initial_state_mae,initial_fraction_diff,initial_curve_diff,round_hash_equal,pair_group_ok,condition_log_ok,settle_steps_baseline,settle_steps_selector,settle_static_baseline,settle_static_selector,numeric_pass
free,312000,phase312_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,1,1,1,610,610,0,0,1
free,312000,phase312_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.0,0.0,1,1,1,610,610,0,0,1
free,312000,phase312_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.0,0.0,1,1,1,610,610,0,0,1
free,312000,phase312_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.0,0.0,1,1,1,610,610,0,0,1
free,312001,phase312_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,1,1,1,610,610,0,0,1
free,312001,phase312_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.0,0.0,1,1,1,610,610,0,0,1
free,312001,phase312_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.0,0.0,1,1,1,610,610,0,0,1
free,312001,phase312_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.0,0.0,1,1,1,610,610,0,0,1
free,312002,phase312_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,1,1,1,610,610,0,0,1
free,312002,phase312_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.0,0.0,1,1,1,610,610,0,0,1
free,312002,phase312_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.0,0.0,1,1,1,610,610,0,0,1
free,312002,phase312_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.0,0.0,1,1,1,610,610,0,0,1
free,312003,phase312_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,1,1,1,610,610,0,0,1
free,312003,phase312_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.0,0.0,1,1,1,610,610,0,0,1
free,312003,phase312_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.0,0.0,1,1,1,610,610,0,0,1
free,312003,phase312_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.0,0.0,1,1,1,610,610,0,0,1
free,312500,phase312b_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,1,1,1,640,640,0,0,1
free,312500,phase312b_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.0,0.0,1,1,1,640,640,0,0,1
free,312500,phase312b_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.0,0.0,1,1,1,640,640,0,0,1
free,312500,phase312b_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.0,0.0,1,1,1,640,640,0,0,1
free,312501,phase312b_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,1,1,1,610,610,0,0,1
