condition,selector,num_pairs,mean_delta,baseline_mean_delta,paired_mean_gain,paired_median_gain,bootstrap_ci_low,bootstrap_ci_high,positive_pairs,negative_pairs,ties,required_positive_pairs,robust_improvement,mean_selector_pull,mean_baseline_pull,mean_selector_future_match,mean_baseline_future_match
free,ddpm_mean,8,-0.015625,-0.015625,0.0,0.0,0.0,0.0,0,0,8,6,False,0.08367630486463895,0.08367630486463895,0.015625,0.015625
free,condition_nearest_upper,8,-0.03125,-0.015625,-0.015625,0.0,-0.07291666666666666,0.036458333333333336,1,2,5,6,False,0.10794933880970348,0.08367630486463895,1.0,0.015625
free,proxy_state_motion_nn,8,0.0625,-0.015625,0.078125,0.0625,0.03645833333333333,0.125,6,0,2,6,True,0.1563695669392473,0.08367630486463895,0.3046875,0.015625
free,proxy_combined_topk_action_geom,8,-0.005208333333333335,-0.015625,0.010416666666666668,0.0,-0.05208333333333333,0.06770833333333333,3,1,4,6,False,0.24728433438576758,0.08367630486463895,0.078125,0.015625
hidden_breakaway_pin,ddpm_mean,8,0.010416666666666668,0.010416666666666668,0.0,0.0,0.0,0.0,0,0,8,6,False,0.11600226505834144,0.11600226505834144,0.3125,0.3125
hidden_breakaway_pin,condition_nearest_upper,8,-0.005208333333333334,0.010416666666666668,-0.015625000000000007,0.0,-0.09895833333333334,0.041666666666666664,2,1,5,6,False,0.0882601479315781,0.11600226505834144,1.0,0.3125
hidden_breakaway_pin,proxy_state_motion_nn,8,0.0,0.010416666666666668,-0.010416666666666668,0.0,-0.109375,0.078125,1,1,6,6,False,0.22273222723742947,0.11600226505834144,0.421875,0.3125
hidden_breakaway_pin,proxy_combined_topk_action_geom,8,-0.026041666666666668,0.010416666666666668,-0.036458333333333336,0.0,-0.109375,0.0,0,1,7,6,False,0.2624665732146241,0.11600226505834144,0.1015625,0.3125
hidden_high_friction,ddpm_mean,8,0.06770833333333333,0.06770833333333333,0.0,0.0,0.0,0.0,0,0,8,6,False,0.09231398558767978,0.09231398558767978,0.6875,0.6875
hidden_high_friction,condition_nearest_upper,8,0.0052083333333333304,0.06770833333333333,-0.0625,0.0,-0.16666666666666669,0.020833333333333332,1,2,5,6,False,0.1086026951961685,0.09231398558767978,1.0,0.6875
hidden_high_friction,proxy_state_motion_nn,8,-0.005208333333333336,0.06770833333333333,-0.07291666666666667,0.0,-0.2552083333333333,0.0625,2,2,4,6,False,0.17653808834438678,0.09231398558767978,0.140625,0.6875
hidden_high_friction,proxy_combined_topk_action_geom,8,0.057291666666666664,0.06770833333333333,-0.010416666666666671,0.0,-0.08333333333333334,0.0625,2,2,4,6,False,0.22545863298000768,0.09231398558767978,0.140625,0.6875
