comparison,horizon,feature,accuracy_ci_low,balanced_accuracy_ci_low,roc_auc_ci_low,average_precision_ci_low,accuracy_ci_high,balanced_accuracy_ci_high,roc_auc_ci_high,average_precision_ci_high,iterations
free_a_vs_hidden_armed,0,xy,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_hidden_armed,0,xy_velocity,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_hidden_armed,0,full_state,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_hidden_armed,0,model_x,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_free_b,0,xy,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_free_b,0,xy_velocity,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_free_b,0,full_state,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_free_b,0,model_x,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_hidden_unarmed,0,xy,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_hidden_unarmed,0,xy_velocity,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_hidden_unarmed,0,full_state,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_hidden_unarmed,0,model_x,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_hidden_armed,1,xy,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_hidden_armed,1,xy_velocity,0.9375,0.9375,0.9588623046875,0.9724463791778771,0.98046875,0.98046875,0.9959716796875,0.9960017535222659,10000
free_a_vs_hidden_armed,1,full_state,0.91796875,0.91796875,0.9618515014648438,0.9715039598184472,0.9765625,0.9765625,0.99542236328125,0.9955332547141807,10000
free_a_vs_hidden_armed,1,model_x,0.91796875,0.91796875,0.96240234375,0.9719469106213219,0.9765625,0.9765625,0.99566650390625,0.9956498213265286,10000
free_a_vs_free_b,1,xy,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_free_b,1,xy_velocity,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_free_b,1,full_state,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_free_b,1,model_x,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_hidden_unarmed,1,xy,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_hidden_unarmed,1,xy_velocity,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_hidden_unarmed,1,full_state,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_hidden_unarmed,1,model_x,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_hidden_armed,5,xy,0.5,0.5,0.5,0.5,0.5,0.5,0.500518798828125,0.5050393830460714,10000
free_a_vs_hidden_armed,5,xy_velocity,0.81640625,0.81640625,0.8886703491210938,0.871845682707481,0.8984375,0.8984375,0.9523941040039062,0.9461096511066559,10000
free_a_vs_hidden_armed,5,full_state,0.84375,0.84375,0.8928802490234375,0.8727291257405505,0.91796875,0.91796875,0.95458984375,0.9486435044497674,10000
free_a_vs_hidden_armed,5,model_x,0.84375,0.84375,0.8914794921875,0.8753404144188827,0.91796875,0.91796875,0.9533706665039062,0.9479677460878869,10000
free_a_vs_free_b,5,xy,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_free_b,5,xy_velocity,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_free_b,5,full_state,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_free_b,5,model_x,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_hidden_unarmed,5,xy,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_hidden_unarmed,5,xy_velocity,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_hidden_unarmed,5,full_state,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_hidden_unarmed,5,model_x,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_hidden_armed,20,xy,0.5,0.5,0.505462646484375,0.5079387164621343,0.51171875,0.51171875,0.5104072570800782,0.5214031178749262,10000
free_a_vs_hidden_armed,20,xy_velocity,0.76171875,0.76171875,0.84942626953125,0.8376593759139976,0.8515625,0.8515625,0.9287734985351562,0.926923798124619,10000
free_a_vs_hidden_armed,20,full_state,0.73828125,0.73828125,0.8465545654296875,0.8308563195605754,0.8359375,0.8359375,0.9263931274414062,0.9227109056328672,10000
free_a_vs_hidden_armed,20,model_x,0.7265625,0.7265625,0.83746337890625,0.8165318228668568,0.828125,0.828125,0.9194351196289062,0.9167440966407302,10000
free_a_vs_free_b,20,xy,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_free_b,20,xy_velocity,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_free_b,20,full_state,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_free_b,20,model_x,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_hidden_unarmed,20,xy,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_hidden_unarmed,20,xy_velocity,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_hidden_unarmed,20,full_state,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
free_a_vs_hidden_unarmed,20,model_x,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10000
