feature,comparison,horizon,paired_l2_mean,paired_mae,paired_max_abs,normalized_paired_l2_mean,leakage_over_train_std,leakage_over_between_seed
xy,free_a_vs_hidden_armed,0,0.0,0.0,0.0,0.0,0.0,0.0
xy_velocity,free_a_vs_hidden_armed,0,0.0,0.0,0.0,0.0,0.0,0.0
full_state,free_a_vs_hidden_armed,0,0.0,0.0,0.0,0.0,0.0,0.0
model_x,free_a_vs_hidden_armed,0,0.0,0.0,0.0,0.0,0.0,0.0
xy,free_a_vs_free_b,0,0.0,0.0,0.0,0.0,0.0,0.0
xy_velocity,free_a_vs_free_b,0,0.0,0.0,0.0,0.0,0.0,0.0
full_state,free_a_vs_free_b,0,0.0,0.0,0.0,0.0,0.0,0.0
model_x,free_a_vs_free_b,0,0.0,0.0,0.0,0.0,0.0,0.0
xy,free_a_vs_hidden_unarmed,0,0.0,0.0,0.0,0.0,0.0,0.0
xy_velocity,free_a_vs_hidden_unarmed,0,0.0,0.0,0.0,0.0,0.0,0.0
full_state,free_a_vs_hidden_unarmed,0,0.0,0.0,0.0,0.0,0.0,0.0
model_x,free_a_vs_hidden_unarmed,0,0.0,0.0,0.0,0.0,0.0,0.0
xy,free_a_vs_hidden_armed,1,7.361578802063545e-06,5.711837592533205e-07,1.5113502740859985e-05,4.405760568298639e-05,3.2377741315196077e-06,5.602676459758822e-06
xy_velocity,free_a_vs_hidden_armed,1,0.001766033770826818,6.879621202025371e-05,0.00362763530574739,4.662890162145885,0.19026620781262715,0.001344070703769867
full_state,free_a_vs_hidden_armed,1,0.0017660337708268177,4.8921750769958194e-05,0.00362763530574739,4.662890162145885,0.13530041444453486,0.0013440707037145332
model_x,free_a_vs_hidden_armed,1,0.003058860218954499,4.4325076200968834e-05,0.00362763530574739,8.076362670949752,0.12258762382558527,0.0013440707037145332
xy,free_a_vs_free_b,1,0.0,0.0,0.0,0.0,0.0,0.0
xy_velocity,free_a_vs_free_b,1,0.0,0.0,0.0,0.0,0.0,0.0
full_state,free_a_vs_free_b,1,0.0,0.0,0.0,0.0,0.0,0.0
model_x,free_a_vs_free_b,1,0.0,0.0,0.0,0.0,0.0,0.0
xy,free_a_vs_hidden_unarmed,1,0.0,0.0,0.0,0.0,0.0,0.0
xy_velocity,free_a_vs_hidden_unarmed,1,0.0,0.0,0.0,0.0,0.0,0.0
full_state,free_a_vs_hidden_unarmed,1,0.0,0.0,0.0,0.0,0.0,0.0
model_x,free_a_vs_hidden_unarmed,1,0.0,0.0,0.0,0.0,0.0,0.0
xy,free_a_vs_hidden_armed,5,3.1040493946781414e-05,2.499982722762676e-06,7.852911949157715e-05,0.00018499472777202755,1.4038635976773974e-05,2.3623948257157624e-05
xy_velocity,free_a_vs_hidden_armed,5,0.0022422341782554604,9.948323002184608e-05,0.004483444759898703,5.971578663223654,0.28335222171846497,0.0017064875289172045
full_state,free_a_vs_hidden_armed,5,0.0022422341782554604,7.074363023775722e-05,0.004483444759898703,5.971578663223655,0.20149491322201954,0.0017064875288466117
model_x,free_a_vs_hidden_armed,5,0.0038836635192059077,6.409657773219613e-05,0.004483444759898703,10.343077646097608,0.18256250526827272,0.0017064875288466115
xy,free_a_vs_free_b,5,0.0,0.0,0.0,0.0,0.0,0.0
xy_velocity,free_a_vs_free_b,5,0.0,0.0,0.0,0.0,0.0,0.0
full_state,free_a_vs_free_b,5,0.0,0.0,0.0,0.0,0.0,0.0
model_x,free_a_vs_free_b,5,0.0,0.0,0.0,0.0,0.0,0.0
xy,free_a_vs_hidden_unarmed,5,0.0,0.0,0.0,0.0,0.0,0.0
xy_velocity,free_a_vs_hidden_unarmed,5,0.0,0.0,0.0,0.0,0.0,0.0
full_state,free_a_vs_hidden_unarmed,5,0.0,0.0,0.0,0.0,0.0,0.0
model_x,free_a_vs_hidden_unarmed,5,0.0,0.0,0.0,0.0,0.0,0.0
xy,free_a_vs_hidden_armed,20,0.0001280337718198615,9.848328905566936e-06,0.00027996301651000977,0.0006954885776681001,5.3140824170629336e-05,9.744152923466882e-05
xy_velocity,free_a_vs_hidden_armed,20,0.0033950234039638897,0.00015827532928074442,0.01380921236705035,7.88861510966049,0.39227861918362233,0.0025838067977816625
full_state,free_a_vs_hidden_armed,20,0.0033950234039638897,0.00011255134526630715,0.01380921236705035,7.88861510966049,0.27895368475279814,0.00258380679767477
model_x,free_a_vs_hidden_armed,20,0.005880353028550894,0.00010197605108021117,0.01380921236705035,13.663482171287498,0.25274327142032044,0.00258380679767477
xy,free_a_vs_free_b,20,0.0,0.0,0.0,0.0,0.0,0.0
xy_velocity,free_a_vs_free_b,20,0.0,0.0,0.0,0.0,0.0,0.0
full_state,free_a_vs_free_b,20,0.0,0.0,0.0,0.0,0.0,0.0
model_x,free_a_vs_free_b,20,0.0,0.0,0.0,0.0,0.0,0.0
xy,free_a_vs_hidden_unarmed,20,0.0,0.0,0.0,0.0,0.0,0.0
xy_velocity,free_a_vs_hidden_unarmed,20,0.0,0.0,0.0,0.0,0.0,0.0
full_state,free_a_vs_hidden_unarmed,20,0.0,0.0,0.0,0.0,0.0,0.0
model_x,free_a_vs_hidden_unarmed,20,0.0,0.0,0.0,0.0,0.0,0.0
