index,condition,mode,status,paper_x,state_action_x,y_state,y_action,canonical_paper_x,canonical_state_action_x
39,hidden_breakaway_pin,canonicalized_free_input_exact_targets,ok,0.0012042403686791658,0.0012042403686791658,0.0,0.0,0.0,0.0
325,hidden_pin,canonicalized_free_input_exact_targets,ok,0.7546213865280151,0.7546213865280151,0.0,0.0,0.0,0.0
830,hidden_high_friction,canonicalized_free_input_exact_targets,ok,0.012671800330281258,0.012671800330281258,0.0,0.0,0.0,0.0
525,hidden_pin,canonicalized_free_input_exact_targets,ok,0.0009546306100673974,0.0009546306100673974,0.0,0.0,0.0,0.0
859,hidden_breakaway_pin,canonicalized_free_input_exact_targets,ok,0.0010993024334311485,0.0010993024334311485,0.0,0.0,0.0,0.0
637,hidden_pin,canonicalized_free_input_exact_targets,ok,1.942394733428955,1.942394733428955,0.0,0.0,0.0,0.0
720,free,raw_exact,ok,0.0,0.0,0.0,0.0,,
104,free,raw_exact,ok,0.0,0.0,0.0,0.0,,
772,free,raw_exact,ok,0.0,0.0,0.0,0.0,,
485,hidden_pin,canonicalized_free_input_exact_targets,ok,0.0008494640933349729,0.0008494640933349729,0.0,0.0,0.0,0.0
563,hidden_breakaway_pin,canonicalized_free_input_exact_targets,ok,0.010012716054916382,0.010012716054916382,0.0,0.0,0.0,0.0
395,hidden_breakaway_pin,canonicalized_free_input_exact_targets,ok,0.0012363945133984089,0.0012363945133984089,0.0,0.0,0.0,0.0
884,free,raw_exact,ok,0.0,0.0,0.0,0.0,,
685,hidden_pin,canonicalized_free_input_exact_targets,ok,0.0027928773779422045,0.0027928773779422045,0.0,0.0,0.0,0.0
308,free,raw_exact,ok,0.0,0.0,0.0,0.0,,
120,free,raw_exact,ok,0.0,0.0,0.0,0.0,,
124,free,raw_exact,ok,0.0,0.0,0.0,0.0,,
581,hidden_pin,canonicalized_free_input_exact_targets,ok,0.0003565824299585074,0.0003565824299585074,0.0,0.0,0.0,0.0
794,hidden_high_friction,canonicalized_free_input_exact_targets,ok,0.024228066205978394,0.024228066205978394,0.0,0.0,0.0,0.0
731,hidden_breakaway_pin,canonicalized_free_input_exact_targets,ok,0.0010284698801115155,0.0010284698801115155,0.0,0.0,0.0,0.0
376,free,raw_exact,ok,0.0,0.0,0.0,0.0,,
916,free,raw_exact,ok,0.0,0.0,0.0,0.0,,
132,free,raw_exact,ok,0.0,0.0,0.0,0.0,,
95,hidden_breakaway_pin,canonicalized_free_input_exact_targets,ok,0.0030829680617898703,0.0030829680617898703,0.0,0.0,0.0,0.0
442,hidden_high_friction,canonicalized_free_input_exact_targets,ok,0.02322310209274292,0.02322310209274292,0.0,0.0,0.0,0.0
438,hidden_high_friction,canonicalized_free_input_exact_targets,ok,0.02072899043560028,0.02072899043560028,0.0,0.0,0.0,0.0
465,hidden_pin,canonicalized_free_input_exact_targets,ok,0.6434756517410278,0.6781250238418579,0.0,0.0,0.0,0.0
285,hidden_pin,canonicalized_free_input_exact_targets,ok,0.0005534400697797537,0.0005534400697797537,0.0,0.0,0.0,0.0
726,hidden_high_friction,canonicalized_free_input_exact_targets,ok,0.12927508354187012,0.12927508354187012,0.0,0.0,0.0,0.0
163,hidden_breakaway_pin,canonicalized_free_input_exact_targets,ok,0.018838340416550636,0.018838340416550636,0.0,0.0,0.0,0.0
261,hidden_pin,canonicalized_free_input_exact_targets,ok,0.6499946117401123,0.6499946117401123,0.0,0.0,0.0,0.0
304,free,raw_exact,ok,0.0,0.0,0.0,0.0,,
811,hidden_breakaway_pin,canonicalized_free_input_exact_targets,ok,0.0016306065954267979,0.0016306065954267979,0.0,0.0,0.0,0.0
933,hidden_pin,canonicalized_free_input_exact_targets,ok,0.0012236435431987047,0.0012236435431987047,0.0,0.0,0.0,0.0
774,hidden_high_friction,canonicalized_free_input_exact_targets,ok,0.0019355632830411196,0.0019355632830411196,0.0,0.0,0.0,0.0
889,hidden_pin,canonicalized_free_input_exact_targets,ok,0.0007627830491401255,0.0007627830491401255,0.0,0.0,0.0,0.0
753,hidden_pin,canonicalized_free_input_exact_targets,ok,1.9219069480895996,1.9219069480895996,0.0,0.0,0.0,0.0
585,hidden_pin,canonicalized_free_input_exact_targets,ok,0.0011562083382159472,0.0011562083382159472,0.0,0.0,0.0,0.0
160,free,raw_exact,ok,0.0,0.0,0.0,0.0,,
173,hidden_pin,canonicalized_free_input_exact_targets,ok,0.21289771795272827,0.21289771795272827,0.0,0.0,0.0,0.0
843,hidden_breakaway_pin,canonicalized_free_input_exact_targets,ok,0.24626755714416504,0.24626755714416504,0.0,0.0,0.0,0.0
757,hidden_pin,canonicalized_free_input_exact_targets,ok,1.9219069480895996,1.9219069480895996,0.0,0.0,0.0,0.0
266,hidden_high_friction,canonicalized_free_input_exact_targets,ok,0.39196109771728516,0.39196109771728516,0.0,0.0,0.0,0.0
201,hidden_pin,canonicalized_free_input_exact_targets,ok,0.0006899709696881473,0.0006899709696881473,0.0,0.0,0.0,0.0
789,hidden_pin,canonicalized_free_input_exact_targets,ok,0.000651403795927763,0.000651403795927763,0.0,0.0,0.0,0.0
453,hidden_pin,canonicalized_free_input_exact_targets,ok,0.596400260925293,0.596400260925293,0.0,0.0,0.0,0.0
112,free,raw_exact,ok,0.0,0.0,0.0,0.0,,
791,hidden_breakaway_pin,canonicalized_free_input_exact_targets,ok,0.00168925104662776,0.00168925104662776,0.0,0.0,0.0,0.0
515,hidden_breakaway_pin,canonicalized_free_input_exact_targets,ok,0.000573996570892632,0.000573996570892632,0.0,0.0,0.0,0.0
624,free,raw_exact,ok,0.0,0.0,0.0,0.0,,
701,hidden_pin,canonicalized_free_input_exact_targets,ok,0.7855160236358643,0.7855160236358643,0.0,0.0,0.0,0.0
759,hidden_breakaway_pin,canonicalized_free_input_exact_targets,ok,1.9219087362289429,1.9219087362289429,0.0,0.0,0.0,0.0
119,hidden_breakaway_pin,canonicalized_free_input_exact_targets,ok,0.0005049823084846139,0.0005049823084846139,0.0,0.0,0.0,0.0
918,hidden_high_friction,canonicalized_free_input_exact_targets,ok,0.0018421363784000278,0.0018421363784000278,0.0,0.0,0.0,0.0
820,free,raw_exact,ok,0.0,0.0,0.0,0.0,,
432,free,raw_exact,ok,0.0,0.0,0.0,0.0,,
349,hidden_pin,canonicalized_free_input_exact_targets,ok,0.8248090744018555,0.8248090744018555,0.0,0.0,0.0,0.0
514,hidden_high_friction,canonicalized_free_input_exact_targets,ok,0.0006977235898375511,0.0006977235898375511,0.0,0.0,0.0,0.0
43,hidden_breakaway_pin,canonicalized_free_input_exact_targets,ok,0.0020568249747157097,0.0020568249747157097,0.0,0.0,0.0,0.0
608,free,raw_exact,ok,0.0,0.0,0.0,0.0,,
646,hidden_high_friction,canonicalized_free_input_exact_targets,ok,0.026066873222589493,0.026066873222589493,0.0,0.0,0.0,0.0
930,hidden_high_friction,canonicalized_free_input_exact_targets,ok,0.11794719099998474,0.11794719099998474,0.0,0.0,0.0,0.0
108,free,raw_exact,ok,0.0,0.0,0.0,0.0,,
673,hidden_pin,canonicalized_free_input_exact_targets,ok,0.0011050268076360226,0.0011050268076360226,0.0,0.0,0.0,0.0
651,hidden_breakaway_pin,canonicalized_free_input_exact_targets,ok,1.9283846616744995,1.9283846616744995,0.0,0.0,0.0,0.0
353,hidden_pin,canonicalized_free_input_exact_targets,ok,0.0010539302602410316,0.0010539302602410316,0.0,0.0,0.0,0.0
