kind,key,splits
source_file,000000-9.pkl,heldout train
source_file,000001-5.pkl,heldout train
source_file,000002-6.pkl,heldout train
source_file,000002-1.pkl,heldout train
source_file,000003-4.pkl,heldout train
source_file,000004-1.pkl,heldout train
source_file,000006-7.pkl,heldout train
source_file,000007-20.pkl,heldout train
source_file,000008-6.pkl,heldout train
source_file,000008-7.pkl,heldout train
source_file,000009-1.pkl,heldout train
source_file,000010-1.pkl,heldout train
source_file,000011-1.pkl,heldout train
source_file,000012-6.pkl,heldout train
source_file,000013-5.pkl,heldout train
source_file,000013-1.pkl,heldout train
source_file,000013-9.pkl,heldout train
source_file,000014-7.pkl,heldout train
source_file,000015-6.pkl,heldout train
source_file,000015-1.pkl,heldout train
source_file,000016-1.pkl,heldout train
source_file,000017-7.pkl,heldout train
source_file,000017-1.pkl,heldout train
source_file,000017-8.pkl,heldout train
source_file,000018-1.pkl,heldout train
source_file,000018-3.pkl,heldout train
source_file,000019-6.pkl,heldout train
source_file,000019-1.pkl,heldout train
source_file,000019-7.pkl,heldout train
source_file,000020-1.pkl,heldout train
source_file,000021-3.pkl,heldout train
source_file,000021-1.pkl,heldout train
source_file,000022-1.pkl,heldout train
source_file,000023-5.pkl,heldout train
source_file,000024-6.pkl,heldout train
source_file,000025-7.pkl,heldout train
source_file,000026-6.pkl,heldout train
source_file,000026-1.pkl,heldout train
source_file,000027-1.pkl,heldout train
source_file,000027-6.pkl,heldout train
source_file,000028-1.pkl,heldout train
source_file,000029-6.pkl,heldout train
source_file,000029-1.pkl,heldout train
source_file,000029-7.pkl,heldout train
