comparison,left_track,right_track,step,feature,feature_family,legal_observation,feature_dim,accuracy,balanced_accuracy,roc_auc,tp,tn,fp,fn,paired_accuracy,paired_positive,paired_negative,paired_ties,paired_margin_mean,paired_margin_median,paired_sign_p,roc_auc_ci_low,roc_auc_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,paired_accuracy_ci_low,paired_accuracy_ci_high
primary_step_0,free_a,hidden_armed,0,xy_single,position,True,48,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_0,free_a,hidden_armed,0,sim_velocity_only,privileged_velocity,False,48,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_0,free_a,hidden_armed,0,xy_sim_velocity,privileged_velocity,False,96,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_0,free_a,hidden_armed,0,robot_only,robot_proprio,True,39,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_0,free_a,hidden_armed,0,position_proprio_single,position_proprio,True,87,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_0,free_a,hidden_armed,0,xy_history_s1,observable_motion,True,144,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_0,free_a,hidden_armed,0,position_proprio_history_s1,observable_motion,True,261,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_0,free_a,hidden_armed,0,causal_fd_history_s1,observable_motion,True,405,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_0,free_a,hidden_armed,0,model_x_v2_s1,proposed_model_input,True,303,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_0,free_a,hidden_armed,0,privileged_model_x_v1_s1,privileged_velocity,False,447,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_0,free_a,hidden_armed,0,xy_history_s5,observable_motion,True,144,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_0,free_a,hidden_armed,0,position_proprio_history_s5,observable_motion,True,261,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_0,free_a,hidden_armed,0,causal_fd_history_s5,observable_motion,True,405,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_0,free_a,hidden_armed,0,model_x_v2_s5,proposed_model_input,True,303,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_0,free_a,hidden_armed,0,privileged_model_x_v1_s5,privileged_velocity,False,447,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_0,free_a,hidden_armed,0,xy_history_s10,observable_motion,True,144,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_0,free_a,hidden_armed,0,position_proprio_history_s10,observable_motion,True,261,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_0,free_a,hidden_armed,0,causal_fd_history_s10,observable_motion,True,405,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_0,free_a,hidden_armed,0,model_x_v2_s10,proposed_model_input,True,303,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_0,free_a,hidden_armed,0,privileged_model_x_v1_s10,privileged_velocity,False,447,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_0,free_a,hidden_armed,0,model_x_v2_s5_noise_00025m,noisy_visual_proxy,True,303,0.46875,0.46875,0.458404541015625,58,62,66,70,0.4609375,59,69,0,-0.03584558823529411,-0.008723489395758233,0.4264394964440242,0.41277923583984377,0.5036323547363282,0.421875,0.515625,0.375,0.546875
primary_step_0,free_a,hidden_armed,0,model_x_v2_s5_noise_0005m,noisy_visual_proxy,True,303,0.4453125,0.4453125,0.448211669921875,56,58,70,72,0.4453125,57,71,0,-0.04467286914765906,-0.07651060424169676,0.2504398806192594,0.384674072265625,0.51422119140625,0.38671875,0.5078125,0.359375,0.53125
primary_step_0,free_a,hidden_armed,0,model_x_v2_s5_noise_001m,noisy_visual_proxy,True,303,0.48046875,0.48046875,0.522430419921875,57,66,62,71,0.5390625,69,59,0,0.022739095638255307,0.06314525810324119,0.4264394964440242,0.45519866943359377,0.5893577575683593,0.421875,0.5390625,0.453125,0.625
primary_step_1,free_a,hidden_armed,1,xy_single,position,True,48,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_1,free_a,hidden_armed,1,sim_velocity_only,privileged_velocity,False,48,0.97265625,0.97265625,0.988677978515625,125,124,4,3,0.9921875,127,1,0,0.49635604241696685,0.49111644657863135,7.581938562803754e-37,0.9695419311523438,0.9996337890625,0.953125,0.98828125,0.9765625,1.0
primary_step_1,free_a,hidden_armed,1,xy_sim_velocity,privileged_velocity,False,96,0.98046875,0.98046875,0.990142822265625,124,127,1,4,0.9921875,127,1,0,0.49815551220488197,0.49011604641856743,7.581938562803754e-37,0.97314453125,0.99981689453125,0.9609375,0.99609375,0.9765625,1.0
primary_step_1,free_a,hidden_armed,1,robot_only,robot_proprio,True,39,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_1,free_a,hidden_armed,1,position_proprio_single,position_proprio,True,87,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_1,free_a,hidden_armed,1,xy_history_s1,observable_motion,True,144,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_1,free_a,hidden_armed,1,position_proprio_history_s1,observable_motion,True,261,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_1,free_a,hidden_armed,1,causal_fd_history_s1,observable_motion,True,405,0.98046875,0.98046875,0.99017333984375,125,126,2,3,0.9921875,127,1,0,0.49790041016406555,0.48775510204081635,7.581938562803754e-37,0.97314453125,0.99993896484375,0.9609375,0.99609375,0.9765625,1.0
primary_step_1,free_a,hidden_armed,1,model_x_v2_s1,proposed_model_input,True,303,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_1,free_a,hidden_armed,1,privileged_model_x_v1_s1,privileged_velocity,False,447,0.98046875,0.98046875,0.990234375,125,126,2,3,0.9921875,127,1,0,0.49783913565426174,0.4936374549819928,7.581938562803754e-37,0.9728683471679688,0.99993896484375,0.9609375,0.99609375,0.9765625,1.0
