comparison,left_track,right_track,step,feature,feature_family,legal_observation,feature_dim,accuracy,balanced_accuracy,roc_auc,tp,tn,fp,fn,paired_accuracy,paired_positive,paired_negative,paired_ties,paired_margin_mean,paired_margin_median,paired_sign_p,roc_auc_ci_low,roc_auc_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,paired_accuracy_ci_low,paired_accuracy_ci_high
primary_step_20,free_a,hidden_v2_a,20,xy_single,position,True,48,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_20,free_a,hidden_v2_a,20,sim_velocity_only,privileged_velocity,False,48,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_20,free_a,hidden_v2_a,20,xy_sim_velocity,privileged_velocity,False,96,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_20,free_a,hidden_v2_a,20,robot_only,robot_proprio,True,39,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_20,free_a,hidden_v2_a,20,position_proprio_single,position_proprio,True,87,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_20,free_a,hidden_v2_a,20,xy_history_s1,observable_motion,True,144,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_20,free_a,hidden_v2_a,20,position_proprio_history_s1,observable_motion,True,261,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_20,free_a,hidden_v2_a,20,causal_fd_history_s1,observable_motion,True,405,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_20,free_a,hidden_v2_a,20,model_x_v2_s1,proposed_model_input,True,303,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_20,free_a,hidden_v2_a,20,privileged_model_x_v1_s1,privileged_velocity,False,447,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_20,free_a,hidden_v2_a,20,xy_history_s5,observable_motion,True,144,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_20,free_a,hidden_v2_a,20,position_proprio_history_s5,observable_motion,True,261,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_20,free_a,hidden_v2_a,20,causal_fd_history_s5,observable_motion,True,405,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_20,free_a,hidden_v2_a,20,model_x_v2_s5,proposed_model_input,True,303,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_20,free_a,hidden_v2_a,20,privileged_model_x_v1_s5,privileged_velocity,False,447,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_20,free_a,hidden_v2_a,20,xy_history_s10,observable_motion,True,144,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_20,free_a,hidden_v2_a,20,position_proprio_history_s10,observable_motion,True,261,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_20,free_a,hidden_v2_a,20,causal_fd_history_s10,observable_motion,True,405,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_20,free_a,hidden_v2_a,20,model_x_v2_s10,proposed_model_input,True,303,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_20,free_a,hidden_v2_a,20,privileged_model_x_v1_s10,privileged_velocity,False,447,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_60,free_a,hidden_v2_a,60,xy_single,position,True,48,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_60,free_a,hidden_v2_a,60,sim_velocity_only,privileged_velocity,False,48,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_60,free_a,hidden_v2_a,60,xy_sim_velocity,privileged_velocity,False,96,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_60,free_a,hidden_v2_a,60,robot_only,robot_proprio,True,39,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_60,free_a,hidden_v2_a,60,position_proprio_single,position_proprio,True,87,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_60,free_a,hidden_v2_a,60,xy_history_s1,observable_motion,True,144,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_60,free_a,hidden_v2_a,60,position_proprio_history_s1,observable_motion,True,261,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_60,free_a,hidden_v2_a,60,causal_fd_history_s1,observable_motion,True,405,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_60,free_a,hidden_v2_a,60,model_x_v2_s1,proposed_model_input,True,303,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_60,free_a,hidden_v2_a,60,privileged_model_x_v1_s1,privileged_velocity,False,447,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_60,free_a,hidden_v2_a,60,xy_history_s5,observable_motion,True,144,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_60,free_a,hidden_v2_a,60,position_proprio_history_s5,observable_motion,True,261,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_60,free_a,hidden_v2_a,60,causal_fd_history_s5,observable_motion,True,405,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_60,free_a,hidden_v2_a,60,model_x_v2_s5,proposed_model_input,True,303,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_60,free_a,hidden_v2_a,60,privileged_model_x_v1_s5,privileged_velocity,False,447,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
