slack_distance,spring_stiffness,radial_damping,max_tension,breakaway_extension,breakaway_force,bead_ratio,passed,no_action_pass,sub_deadband_pass,engagement_pass,release_pass,finite,max_sub_radial,max_sub_divergence,min_engagement_divergence,min_engaged_steps,release_steps
0.005,50.0,0.1,4.0,0.03,3.0,0.45,True,True,True,True,True,True,0.00032433960663808616,0.0,0.020148413390463808,151,"[51, 66]"
0.005,50.0,0.2,4.0,0.03,3.0,0.45,True,True,True,True,True,True,0.00032433960663808616,0.0,0.020216579944963557,151,"[49, 65]"
0.005,100.0,0.1,4.0,0.03,3.0,0.45,True,True,True,True,True,True,0.00032433960663808616,0.0,0.02082569800013041,151,"[66, 94]"
0.005,100.0,0.2,4.0,0.03,3.0,0.45,True,True,True,True,True,True,0.00032433960663808616,0.0,0.021496700377640624,151,"[62, 82]"
0.005,150.0,0.1,4.0,0.03,3.0,0.45,False,True,True,True,False,True,0.00032433960663808616,0.0,0.022061540675870177,151,"[52, null]"
0.005,150.0,0.2,4.0,0.03,3.0,0.45,False,True,True,True,False,True,0.00032433960663808616,0.0,0.022227731841212385,151,"[53, null]"
0.01,50.0,0.1,4.0,0.03,3.0,0.45,True,True,True,True,True,True,0.00032433960663808616,0.0,0.018205529999231723,97,"[52, 64]"
0.01,50.0,0.2,4.0,0.03,3.0,0.45,True,True,True,True,True,True,0.00032433960663808616,0.0,0.01819184125877005,103,"[53, 64]"
0.01,100.0,0.1,4.0,0.03,3.0,0.45,True,True,True,True,True,True,0.00032433960663808616,0.0,0.019265435683112227,143,"[62, 77]"
0.01,100.0,0.2,4.0,0.03,3.0,0.45,True,True,True,True,True,True,0.00032433960663808616,0.0,0.01930180056187897,143,"[63, 74]"
0.01,150.0,0.1,4.0,0.03,3.0,0.45,True,True,True,True,True,True,0.00032433960663808616,0.0,0.01986449944983814,143,"[50, 78]"
0.01,150.0,0.2,4.0,0.03,3.0,0.45,True,True,True,True,True,True,0.00032433960663808616,0.0,0.019900809246631495,143,"[50, 75]"
0.015,50.0,0.1,4.0,0.03,3.0,0.45,True,True,True,True,True,True,0.00032433960663808616,0.0,0.012845848041863008,77,"[53, 65]"
0.015,50.0,0.2,4.0,0.03,3.0,0.45,True,True,True,True,True,True,0.00032433960663808616,0.0,0.013324198029517884,90,"[54, 66]"
0.015,100.0,0.1,4.0,0.03,3.0,0.45,True,True,True,True,True,True,0.00032433960663808616,0.0,0.014884107388384185,124,"[59, 70]"
0.015,100.0,0.2,4.0,0.03,3.0,0.45,True,True,True,True,True,True,0.00032433960663808616,0.0,0.014876927029109387,124,"[59, 70]"
0.015,150.0,0.1,4.0,0.03,3.0,0.45,True,True,True,True,True,True,0.00032433960663808616,0.0,0.01663637746308369,124,"[47, 62]"
0.015,150.0,0.2,4.0,0.03,3.0,0.45,True,True,True,True,True,True,0.00032433960663808616,0.0,0.016652639751526404,124,"[47, 62]"
