divergence,engaged,engaged_steps,engagement_step,max_tension,pass,post_release_zero,probe,release_step,released,seed
0.0,False,,,0.0,True,,sub_deadband,,,315100
0.04875601384450671,True,53,,,True,,engagement,,,315100
,True,,18,,True,True,breakaway,46,True,315100
0.0,False,,,0.0,True,,sub_deadband,,,315101
0.017654500627610918,True,54,,,True,,engagement,,,315101
,True,,23,,True,True,breakaway,57,True,315101
0.0,False,,,0.0,True,,sub_deadband,,,315102
0.03755829522321124,True,57,,,True,,engagement,,,315102
,True,,22,,True,True,breakaway,52,True,315102
0.0,False,,,0.0,True,,sub_deadband,,,315103
0.015475660330975196,True,48,,,True,,engagement,,,315103
,True,,21,,True,True,breakaway,55,True,315103
0.0,False,,,0.0,True,,sub_deadband,,,315500
0.02370068974092631,True,60,,,True,,engagement,,,315500
,True,,22,,True,True,breakaway,56,True,315500
0.0,False,,,0.0,True,,sub_deadband,,,315501
0.029377577862849686,True,70,,,True,,engagement,,,315501
,True,,20,,True,True,breakaway,51,True,315501
0.0,False,,,0.0,True,,sub_deadband,,,315502
0.038823930751773233,True,55,,,True,,engagement,,,315502
,True,,19,,True,True,breakaway,48,True,315502
0.0,False,,,0.0,True,,sub_deadband,,,315503
0.030518639041035408,True,57,,,True,,engagement,,,315503
,True,,22,,True,True,breakaway,54,True,315503
