dtype_match,exact_equal,key,max_abs,new_sha256,old_sha256,present_new,present_old,shape_match
True,False,condition_name,,77b33ad14dcfde40b45ea3ab0a0536554f9933ba8da47a6779a618590b766e03,b0d3edc16aa5a2f792b9175fb1e50eab16dd53f89f126c0359bff18121643e05,True,True,False
True,False,engagement_step,,ddd2a7a88ba424cd104a5ab1fe02ca47969b6659cd69cce6ed460e124a82eec9,7d0376eb646c5f6ab9749a3c18065ebf9f7ea2e843d9037d8f233be69fd68699,True,True,False
True,False,final_fraction,,ed26d3c0ea3149472d730bc788ab39cc5740c4dbb93fb1c5d4fa5dfce877c4bd,e375fb116778b4cace0dfd5292dfe56c0b8e1336d7c898f5338ff3b57bb1b5b8,True,True,False
True,False,pair_group,,cf42cfb150279413cae2b5357997f6a80d14eea002cd649d0401ed2baa81c073,6d2d13405e6353e595f0b3c955add6929bb34a565c0f96f60e6e76bd88c9c043,True,True,False
True,False,paper_x,,125a27ae2e9ae3ff0c1d72c63057c6b6173e54068b163f05a1b5a031d3c0d3b4,b3d531e9074b1748a38980c395d6bad7dd1fe417156c674eddf49a9b4c7e2e1a,True,True,False
True,False,pre_engagement,,c3ba391c9f62d1536fc30275fcef7057b9e708c926d03d7c8dc7653b414db8e8,cf16a1c1eba83d8026eeb63d28ecd30694235f523c1b76c8e59bd8b55aab5876,True,True,False
True,False,release_step,,dd067527b643b77e7e42e8e29b246132c4f0652c0c21005a5b1e7c5720d32243,a351158866717774554ae3ba6f36fc0142bf34c0b099490d5e52bc032a5002d8,True,True,False
False,False,source_file,,1d1214c5e1fc49e5502e480903aab70522435ad9e6ee9b9db150f461da6c2d16,5256312da542e68327896b512f1dcfcbf3f93c9287d292ae93d11d72f1a49579,True,True,False
True,False,split_name,,d867fa1ecee7270e8650aafacc49ac575c5d839ab14f645fbe64d8c0152c7485,a8b280e727b0de409897f90f5057be81b7abb117a573b0e6f841ab24cc5aba5b,True,True,False
True,False,state_action_x,,d8140161a99fd9f511d787ca427f19873e78891bd7bb2edd2815df096611fba4,5376a6bacb9f203187e6d38018a1db78cf3459098a9dc7eb19ca571fbe39c672,True,True,False
True,False,success,,adc4f86545efd4742d03e800a29c6b6f36d0fa3bedf81aa4f82c7cc71f40c245,16d424215b4a65f019155ab83d36d056f6170d0bd3c901541dc62498e6997ba7,True,True,False
True,False,visible_seed,,d0c5e7feb184141f16a49acfee819f413bfead97481349c7076f65d0f804bb09,daa3124de530c85ef9f49c627d1db9d2b8a2a8d7f0924092d0f60425ad484b9e,True,True,False
True,False,window_t,,1f60a4a40dea62dd683fdbc2e492a32f4ddbfcecafe1178cae3c4af39f50bb7c,4a81d6fef00de97d78a0acdb13b95c5912dd80ceb0eeb9b8db1747f8678b8cb2,True,True,False
True,False,y_action,,36e27054b43f14a74ccc5d6cf1f001dd73c4592bbe5f09c035bcd5186ff8886b,bcd74b6add973a5b31f5d0e7263bfbc7523de5fe261efe42f41211ff7b6ac5be,True,True,False
True,False,y_final_state,,9521546f9768717349c4b1cf73b5d6a553d0bfe3935c75b86ba315cad15c4ba8,2956ff080e4324af5bfdb1de1ff04404211900e4bb1d8c7de40d0e1130ad6b79,True,True,False
True,False,y_state,,14e7dd479295ada0af311e2d60ffdb3e6ff08047cf40ab2aa9a198480e798694,abe3edca6b67d5ea046befbf63175e3bbbd1be1497c6704d5acb5449795d62ce,True,True,False
