condition,max_abs,source_file,split
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_r1_staging/raw/train/free/seed_400000.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_r1_staging/raw/train/free/seed_400001.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_r1_staging/raw/train/free/seed_400002.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_r1_staging/raw/train/free/seed_400003.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_r1_staging/raw/train/free/seed_400004.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_r1_staging/raw/train/free/seed_400005.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_r1_staging/raw/train/free/seed_400006.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_r1_staging/raw/train/free/seed_400007.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_r1_staging/raw/train/free/seed_400008.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_r1_staging/raw/train/free/seed_400009.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_r1_staging/raw/train/free/seed_400010.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_r1_staging/raw/train/free/seed_400011.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_r1_staging/raw/train/free/seed_400012.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_r1_staging/raw/train/free/seed_400013.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_r1_staging/raw/train/free/seed_400014.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_r1_staging/raw/train/free/seed_400015.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_r1_staging/raw/train/free/seed_400016.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_r1_staging/raw/train/free/seed_400017.pkl,train
