diverged,eligible,final_fraction_abs_diff,future_final_xy_chamfer,normalized_prefix_mae,split,success_diff,visible_seed,window_t
True,True,0.375,0.007574180141091347,0.0,train,True,390000,0
True,True,0.375,0.0171093437820673,0.0006235647839508016,train,True,390000,1
True,True,0.375,0.0171093437820673,0.0014969417672514326,train,True,390000,2
True,True,0.375,0.0171093437820673,0.0026920258971609118,train,True,390000,3
True,True,0.375,0.0171093437820673,0.003917303004355675,train,True,390000,4
True,True,0.2083333134651184,0.007997049018740654,0.0,train,True,390001,0
True,True,0.04166668653488159,0.00393627630546689,0.0,train,True,390002,0
True,True,0.04166668653488159,0.004168861545622349,0.0004824865108825223,train,True,390002,1
True,True,0.04166668653488159,0.005102569703012705,0.0009069725144747926,train,True,390002,2
True,True,0.04166668653488159,0.005612300243228674,0.0021238264336871696,train,True,390002,3
True,True,0.04166668653488159,0.008860897272825241,0.002618193058673638,train,True,390002,4
True,True,0.04166668653488159,0.008860897272825241,0.00321085578569295,train,True,390002,5
True,True,0.04166668653488159,0.008860897272825241,0.004841242304392681,train,True,390002,6
True,True,0.04166668653488159,0.008860897272825241,0.005473592611848271,train,True,390002,7
True,True,0.5416666269302368,0.049096137285232544,0.0,train,True,390003,0
True,True,0.5416666269302368,0.049096137285232544,0.02369393834691323,train,True,390003,1
True,True,0.5416666269302368,0.049096137285232544,0.04522727051284737,train,True,390003,2
True,True,0.3333333134651184,0.024146966636180878,0.0,train,True,390004,0
True,True,0.3333333134651184,0.024146966636180878,0.0018245648069728409,train,True,390004,1
True,True,0.3333333134651184,0.024146966636180878,0.01590192931507831,train,True,390004,2
True,True,0.0,0.004354877397418022,0.0,train,False,390005,0
True,True,0.0,0.004354877397418022,0.00042641415728608256,train,False,390005,1
True,True,0.0,0.004354877397418022,0.0013092011980520581,train,False,390005,2
True,True,0.0,0.004354877397418022,0.002075704627819018,train,False,390005,3
True,True,0.08333331346511841,0.015058629214763641,0.0,train,True,390006,0
True,True,0.08333331346511841,0.015058629214763641,0.0035321949927722114,train,True,390006,1
True,True,1.0,0.006448809988796711,0.0,train,False,390007,0
True,True,1.0,0.004523755982518196,0.0009538428855401624,train,False,390007,1
True,True,1.0,0.008491181768476963,0.0019515650142531787,train,False,390007,2
