condition,max_abs,source_file,split
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/train/free/seed_390000.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/train/free/seed_390001.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/train/free/seed_390002.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/train/free/seed_390003.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/train/free/seed_390004.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/train/free/seed_390005.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/train/free/seed_390006.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/train/free/seed_390007.pkl,train
hidden_slack_breakaway_pin_v2,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/train/hidden_slack_breakaway_pin_v2/seed_390000.pkl,train
hidden_slack_breakaway_pin_v2,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/train/hidden_slack_breakaway_pin_v2/seed_390001.pkl,train
hidden_slack_breakaway_pin_v2,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/train/hidden_slack_breakaway_pin_v2/seed_390002.pkl,train
hidden_slack_breakaway_pin_v2,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/train/hidden_slack_breakaway_pin_v2/seed_390003.pkl,train
hidden_slack_breakaway_pin_v2,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/train/hidden_slack_breakaway_pin_v2/seed_390004.pkl,train
hidden_slack_breakaway_pin_v2,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/train/hidden_slack_breakaway_pin_v2/seed_390005.pkl,train
hidden_slack_breakaway_pin_v2,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/train/hidden_slack_breakaway_pin_v2/seed_390006.pkl,train
hidden_slack_breakaway_pin_v2,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/train/hidden_slack_breakaway_pin_v2/seed_390007.pkl,train
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/val/free/seed_390100.pkl,val
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/val/free/seed_390101.pkl,val
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/val/free/seed_390102.pkl,val
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/val/free/seed_390103.pkl,val
hidden_slack_breakaway_pin_v2,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/val/hidden_slack_breakaway_pin_v2/seed_390100.pkl,val
hidden_slack_breakaway_pin_v2,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/val/hidden_slack_breakaway_pin_v2/seed_390101.pkl,val
hidden_slack_breakaway_pin_v2,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/val/hidden_slack_breakaway_pin_v2/seed_390102.pkl,val
hidden_slack_breakaway_pin_v2,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/val/hidden_slack_breakaway_pin_v2/seed_390103.pkl,val
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/test/free/seed_390200.pkl,test
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/test/free/seed_390201.pkl,test
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/test/free/seed_390202.pkl,test
free,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/test/free/seed_390203.pkl,test
hidden_slack_breakaway_pin_v2,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/test/hidden_slack_breakaway_pin_v2/seed_390200.pkl,test
hidden_slack_breakaway_pin_v2,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/test/hidden_slack_breakaway_pin_v2/seed_390201.pkl,test
hidden_slack_breakaway_pin_v2,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/test/hidden_slack_breakaway_pin_v2/seed_390202.pkl,test
hidden_slack_breakaway_pin_v2,0.0,/data/state_diff2/data/phase3_state_v2_slack_smoke/raw/test/hidden_slack_breakaway_pin_v2/seed_390203.pkl,test
