edge_index,horizon,label,over_rate,repair_config,training_seed,under_rate,violation_rate
0,0,candidate,0.9975490196078431,epsilon_cosine_cap_0p5,31431,0.0,0.9975490196078431
1,0,candidate,0.9963235294117647,epsilon_cosine_cap_0p5,31431,0.0,0.9963235294117647
2,0,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31431,0.0,0.9950980392156863
3,0,candidate,0.9926470588235294,epsilon_cosine_cap_0p5,31431,0.0,0.9926470588235294
4,0,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31431,0.0,0.9950980392156863
5,0,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31431,0.0024509803921568627,0.9975490196078431
6,0,candidate,0.9963235294117647,epsilon_cosine_cap_0p5,31431,0.0012254901960784314,0.9975490196078431
7,0,candidate,0.9938725490196079,epsilon_cosine_cap_0p5,31431,0.0024509803921568627,0.9963235294117647
8,0,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31431,0.0,0.9950980392156863
9,0,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31431,0.0024509803921568627,0.9975490196078431
10,0,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31431,0.0,0.9950980392156863
11,0,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31431,0.0012254901960784314,0.9963235294117647
12,0,candidate,0.991421568627451,epsilon_cosine_cap_0p5,31431,0.006127450980392157,0.9975490196078431
13,0,candidate,0.9901960784313726,epsilon_cosine_cap_0p5,31431,0.006127450980392157,0.9963235294117647
14,0,candidate,0.9963235294117647,epsilon_cosine_cap_0p5,31431,0.0024509803921568627,0.9987745098039216
15,0,candidate,0.9975490196078431,epsilon_cosine_cap_0p5,31431,0.0012254901960784314,0.9987745098039216
16,0,candidate,0.9963235294117647,epsilon_cosine_cap_0p5,31431,0.0012254901960784314,0.9975490196078431
17,0,candidate,0.9926470588235294,epsilon_cosine_cap_0p5,31431,0.0012254901960784314,0.9938725490196079
18,0,candidate,0.9938725490196079,epsilon_cosine_cap_0p5,31431,0.0,0.9938725490196079
19,0,candidate,0.9926470588235294,epsilon_cosine_cap_0p5,31431,0.0024509803921568627,0.9950980392156863
20,0,candidate,0.9938725490196079,epsilon_cosine_cap_0p5,31431,0.0,0.9938725490196079
21,0,candidate,0.9975490196078431,epsilon_cosine_cap_0p5,31431,0.0012254901960784314,0.9987745098039216
22,0,candidate,0.9938725490196079,epsilon_cosine_cap_0p5,31431,0.0012254901960784314,0.9950980392156863
0,1,candidate,0.9987745098039216,epsilon_cosine_cap_0p5,31431,0.0012254901960784314,1.0
1,1,candidate,0.9938725490196079,epsilon_cosine_cap_0p5,31431,0.0012254901960784314,0.9950980392156863
2,1,candidate,0.9987745098039216,epsilon_cosine_cap_0p5,31431,0.0,0.9987745098039216
3,1,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31431,0.0,0.9950980392156863
4,1,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31431,0.0,0.9950980392156863
5,1,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31431,0.0024509803921568627,0.9975490196078431
6,1,candidate,0.9938725490196079,epsilon_cosine_cap_0p5,31431,0.0,0.9938725490196079
7,1,candidate,0.9938725490196079,epsilon_cosine_cap_0p5,31431,0.0024509803921568627,0.9963235294117647
8,1,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31431,0.0012254901960784314,0.9963235294117647
9,1,candidate,0.9926470588235294,epsilon_cosine_cap_0p5,31431,0.0024509803921568627,0.9950980392156863
10,1,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31431,0.003676470588235294,0.9987745098039216
11,1,candidate,0.9963235294117647,epsilon_cosine_cap_0p5,31431,0.0012254901960784314,0.9975490196078431
12,1,candidate,0.9963235294117647,epsilon_cosine_cap_0p5,31431,0.0024509803921568627,0.9987745098039216
13,1,candidate,0.9963235294117647,epsilon_cosine_cap_0p5,31431,0.003676470588235294,1.0
14,1,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31431,0.0012254901960784314,0.9963235294117647
15,1,candidate,0.9963235294117647,epsilon_cosine_cap_0p5,31431,0.0,0.9963235294117647
16,1,candidate,0.9975490196078431,epsilon_cosine_cap_0p5,31431,0.0,0.9975490196078431
17,1,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31431,0.0012254901960784314,0.9963235294117647
18,1,candidate,0.9975490196078431,epsilon_cosine_cap_0p5,31431,0.0,0.9975490196078431
19,1,candidate,0.9987745098039216,epsilon_cosine_cap_0p5,31431,0.0,0.9987745098039216
20,1,candidate,0.9926470588235294,epsilon_cosine_cap_0p5,31431,0.0012254901960784314,0.9938725490196079
21,1,candidate,0.9987745098039216,epsilon_cosine_cap_0p5,31431,0.0,0.9987745098039216
22,1,candidate,0.9975490196078431,epsilon_cosine_cap_0p5,31431,0.0,0.9975490196078431
