bad_segment_constraint_count_max,bad_segment_constraint_count_mean,bad_segment_constraint_count_p50,bad_segment_constraint_count_p90,bad_segment_constraint_count_p95,bad_segment_constraint_count_p99,chain_family_failure_rate,chain_family_score_max,chain_family_score_mean,chain_family_score_p50,chain_family_score_p90,chain_family_score_p95,chain_family_score_p99,chain_ratio_target_max,chain_ratio_target_mean,chain_ratio_target_p50,chain_ratio_target_p90,chain_ratio_target_p95,chain_ratio_target_p99,config,coordinate_failure_rate,edge_vector_rmse_max,edge_vector_rmse_mean,edge_vector_rmse_p50,edge_vector_rmse_p90,edge_vector_rmse_p95,edge_vector_rmse_p99,failed_category_count_max,failed_category_count_mean,failed_category_count_p50,failed_category_count_p90,failed_category_count_p95,failed_category_count_p99,final_ordered_rmse_max,final_ordered_rmse_mean,final_ordered_rmse_p50,final_ordered_rmse_p90,final_ordered_rmse_p95,final_ordered_rmse_p99,gross_compression_fraction_center,gross_stretch_fraction_center,quaternion_failure_rate,quaternion_norm_max,quaternion_norm_mean,quaternion_norm_p50,quaternion_norm_p90,quaternion_norm_p95,quaternion_norm_p99,query_count,query_has_valid_candidate_rate,sample_count,sample_validity_rate,segment_element_score_max,segment_element_score_mean,segment_element_score_p50,segment_element_score_p90,segment_element_score_p95,segment_element_score_p99,segment_family_failure_rate,segment_family_score_max,segment_family_score_mean,segment_family_score_p50,segment_family_score_p90,segment_family_score_p95,segment_family_score_p99,segment_ratio_center_max,segment_ratio_center_mean,segment_ratio_center_p50,segment_ratio_center_p90,segment_ratio_center_p95,segment_ratio_center_p99,segment_ratio_target_max,segment_ratio_target_mean,segment_ratio_target_p50,segment_ratio_target_p90,segment_ratio_target_p95,segment_ratio_target_p99,start_mode,timestep,trajectory_ordered_rmse_max,trajectory_ordered_rmse_mean,trajectory_ordered_rmse_p50,trajectory_ordered_rmse_p90,trajectory_ordered_rmse_p95,trajectory_ordered_rmse_p99
47.0,19.625,18.5,26.5,32.0,43.99999999999999,1.0,1277.38671875,487.3781523704529,461.7689666748047,703.2728576660156,900.4845733642578,1202.0062896728514,2.3554913997650146,1.3859732309356332,1.3676104545593262,1.7027047157287598,2.066467386484145,2.3422721219062805,v_baseline_replay,0.0,0.02703465335071087,0.018528494925703853,0.018375257961452007,0.020687553100287914,0.022562046069651842,0.026140131894499062,2.0,2.0,2.0,2.0,2.0,2.0,0.28358274698257446,0.15686285286210477,0.1473163664340973,0.21813730150461197,0.25656533613801,0.27817926481366156,0.036684782608695655,0.008831521739130434,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0.0,16,0.0,944.406982421875,98.05061297430454,72.34272003173828,225.95617065429687,287.09962158203126,414.124461364746,1.0,944.406982421875,419.20588302612305,394.8030700683594,545.0259704589844,668.4803161621094,889.2216491699218,7.6780219078063965,1.3744889819417554,1.192244052886963,2.597395491600037,3.0295770525932313,3.9273295831680293,7.674627780914307,1.390761804101361,1.2058432698249817,2.637309861183168,3.040865468978882,4.138525743484494,truth_noised,99,0.2793874740600586,0.15335466712713242,0.1440318450331688,0.215622216463089,0.25412632897496223,0.2743352450430393
2.0,0.5,0.0,1.5,2.0,2.0,1.0,618.300048828125,391.37579679489136,414.10345458984375,599.0053100585938,617.5831451416016,618.1566680908203,1.0820504426956177,0.6680285395123065,0.6118600964546204,0.9348453402519226,1.0524805217981335,1.0810687863826751,v_baseline_replay,0.0,0.01605241186916828,0.01251051778672263,0.01214905921369791,0.013900102581828833,0.01450092508457601,0.015742114512249827,2.0,1.375,1.0,2.0,2.0,2.0,0.2870146632194519,0.16213131556287408,0.15832813829183578,0.2198067158460617,0.24685364589095116,0.27898245975375174,0.11888586956521739,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0.0,16,0.0,204.4161834716797,63.969313882483654,63.25590515136719,111.58782424926758,120.78670082092286,134.36969818115233,0.375,204.4161834716797,146.44171047210693,137.72154235839844,180.45425415039062,203.81790924072266,204.2965286254883,2.4452974796295166,0.6628486849975003,0.5846722722053528,1.193798112869263,1.4202005922794343,1.9077464759349818,2.4461417198181152,0.6715391652276436,0.5905791819095612,1.2091466188430795,1.456390541791916,1.9664570200443263,truth_noised,90,0.28038376569747925,0.15749892685562372,0.15315309911966324,0.21314585953950882,0.24361205473542213,0.2730294235050678
5.0,1.3125,1.0,3.0,4.25,4.85,0.875,377.9861755371094,238.1510465145111,277.31492614746094,363.3680419921875,369.8364028930664,376.3562210083008,1.332370400428772,0.9372799079865217,0.9512145221233368,1.2686756372451782,1.3007065832614897,1.3315747714042663,v_baseline_replay,0.0,0.019322726875543594,0.014932891819626093,0.014696238562464714,0.017602582462131977,0.01807973114773631,0.019074127729982137,2.0,1.5,2.0,2.0,2.0,2.0,0.31851810216903687,0.18841717205941677,0.18368519097566605,0.2756251096725464,0.2872174382209778,0.312257969379425,0.036684782608695655,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0.125,16,0.125,250.86920166015625,50.77770432477574,44.753902435302734,103.18376388549805,115.94862594604494,143.67231338500974,0.625,250.86920166015625,164.5187487602234,149.41209411621094,231.14868927001953,250.7793426513672,250.85122985839843,2.7738490104675293,0.9296901071388477,0.8833380341529846,1.5086912393569947,1.7623518228530886,2.0154607772827147,3.913562297821045,0.9419776510052464,0.8916512131690979,1.5379351258277894,1.7891064465045934,2.1609796452522274,truth_noised,75,0.30991554260253906,0.18394745094701648,0.1855156123638153,0.2608409970998764,0.27390599250793457,0.30271363258361816
3.0,1.375,1.0,2.5,3.0,3.0,0.875,302.37396240234375,169.99178218841553,151.03480529785156,283.8090515136719,300.51727294921875,302.00262451171875,1.2090747356414795,1.0038649002090096,1.03511643409729,1.1168449878692628,1.1604682505130768,1.206730581521988,v_baseline_replay,0.0,0.018657099455595016,0.015610983304213732,0.015232082456350327,0.018272104673087597,0.018600921146571636,0.01864586379379034,2.0,1.75,2.0,2.0,2.0,2.0,0.3219126760959625,0.19614980276674032,0.19380739331245422,0.28773488104343414,0.2969648912549019,0.3169231191277504,0.022418478260869564,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0.0,16,0.0,228.6676025390625,45.88135542582882,38.79550552368164,93.78803787231449,112.66916694641114,153.61559326171866,0.875,228.6676025390625,162.09204816818237,160.5166473388672,214.76596069335938,227.5426368713379,228.44260940551757,2.6167640686035156,0.9953087539786635,0.9478470087051392,1.5629628181457529,1.7171150982379915,2.0859609842300406,4.7133355140686035,1.0097088716752098,0.9590884149074554,1.599122250080109,1.749438548088074,2.1525388932228084,truth_noised,50,0.30988800525665283,0.19005125854164362,0.19081997126340866,0.27237769961357117,0.28433042019605637,0.3047764882445335
5.0,2.375,2.5,4.5,5.0,5.0,0.875,269.5489501953125,165.93260169029236,163.2793426513672,247.00962829589844,264.2197799682617,268.48311614990234,1.2128510475158691,1.0232040593400598,1.0403062105178833,1.1886065125465393,1.195055651664734,1.2105274713039398,v_baseline_replay,0.0,0.018078144639730453,0.015863918757531792,0.015827374532818794,0.01793927699327469,0.018051152117550373,0.018072746135294436,2.0,1.625,2.0,2.0,2.0,2.0,0.3202356994152069,0.19476421223953366,0.19820182770490646,0.28195883333683014,0.29230067133903503,0.3146486937999725,0.027853260869565216,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0.0,16,0.0,280.5229797363281,50.16397363313919,42.75619316101074,103.9961967468262,124.95455207824708,168.52410293579095,0.75,280.5229797363281,186.8253574371338,180.85269165039062,255.9735107421875,274.0828857421875,279.2349609375,2.9836478233337402,1.014342751021183,0.9621977806091309,1.6070105791091922,1.8706988394260409,2.1911516475677484,3.2752292156219482,1.027098208116671,0.9680237174034119,1.6370916604995727,1.8871958136558533,2.411675000190734,truth_noised,25,0.3084237575531006,0.18876686412841082,0.19202694296836853,0.2670733630657196,0.27988458424806595,0.30271592289209365
7.0,3.3125,3.0,7.0,7.0,7.0,1.0,252.49649047851562,184.52696704864502,192.14915466308594,250.34877014160156,251.11286544799805,252.21976547241212,1.262123465538025,1.0568726686760783,1.0696490406990051,1.2246373772621155,1.2537574350833893,1.261579953432083,v_baseline_replay,0.0,0.01821715757250786,0.016141528030857444,0.01615357492119074,0.018193633295595646,0.018200578168034554,0.0182138416916132,2.0,2.0,2.0,2.0,2.0,2.0,0.319286048412323,0.19423878751695156,0.19876699149608612,0.28019560873508453,0.2907625660300255,0.3135813519358635,0.020380434782608696,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0.0,16,0.0,323.5019836425781,52.92484888901084,42.33556365966797,111.66286163330079,131.95556945800783,187.25515594482414,1.0,323.5019836425781,217.3033218383789,193.86691284179688,292.0998229980469,316.8197555541992,322.16553802490233,3.287562847137451,1.0477201800955378,0.9910645186901093,1.7091838836669924,1.9221019327640534,2.3240157914161674,3.5166494846343994,1.0611343216834306,0.9966649413108826,1.7470237851142887,1.9516156375408173,2.612594797611234,truth_noised,10,0.30782753229141235,0.18852611351758242,0.19226188957691193,0.2653699368238449,0.2784298285841942,0.3019479915499687
7.0,4.25,5.0,6.5,7.0,7.0,0.875,296.3500671386719,206.54543828964233,230.91746520996094,281.5041961669922,291.4325637817383,295.36656646728517,1.3133864402770996,1.067785605788231,1.0585891008377075,1.2490241050720214,1.2951665818691254,1.3071405947208403,v_baseline_replay,0.0,0.01858046092092991,0.01626518851844594,0.016305974684655666,0.018155796453356743,0.01828373596072197,0.01852111592888832,2.0,1.875,2.0,2.0,2.0,2.0,0.3190850615501404,0.19417960662394762,0.19940564036369324,0.2797873169183731,0.2904120683670044,0.31335046291351315,0.01970108695652174,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0.0,16,0.0,367.6474914550781,53.70839723992243,42.98476982116699,112.44946365356446,140.0620185852051,213.09066207885735,1.0,367.6474914550781,236.0534610748291,226.4353485107422,322.418701171875,360.3094711303711,366.17988739013674,3.599726676940918,1.058602907127984,0.9922970533370972,1.7290432691574107,1.9900346457958222,2.506810252666473,3.6004867553710938,1.0716860603930873,0.9955427646636963,1.7512688398361211,2.0030190169811255,2.6715981912612863,truth_noised,0,0.30775386095046997,0.18857314810156822,0.1924957036972046,0.26501721143722534,0.27814336866140366,0.3018317624926567
47.0,19.625,18.5,26.5,32.0,43.99999999999999,1.0,1277.633056640625,487.08415365219116,462.0236511230469,703.3197326660156,900.5865325927734,1202.2237518310544,2.3553853034973145,1.3857290530577302,1.36652672290802,1.7027518630027771,2.0661983370780934,2.342395086288452,v_baseline_replay,0.0,0.027034567669034004,0.018527247186284512,0.018380907364189625,0.02068617194890976,0.022562948055565357,0.02614024374634027,2.0,2.0,2.0,2.0,2.0,2.0,0.28374379873275757,0.15694975410588086,0.1474812552332878,0.21822671592235565,0.25667353719472885,0.2783297464251518,0.036684782608695655,0.008831521739130434,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0.0,16,0.0,944.5222778320312,98.01789473337324,72.44392013549805,225.98984985351566,287.1762222290039,414.14161041259763,1.0,944.5222778320312,418.90435791015625,394.6130065917969,542.6308898925781,668.3811492919922,889.2940521240233,7.678836822509766,1.374245832798213,1.1928540468215942,2.597631716728211,3.030118632316589,3.9274507641792296,7.675442695617676,1.3905201682608332,1.2059157490730286,2.639521741867067,3.0418819904327394,4.138375797271726,pure_noise,99,0.27954453229904175,0.15344394114799798,0.14414718002080917,0.21570894867181778,0.2542337663471699,0.27448237910866735
2.0,0.5,0.0,1.5,2.0,2.0,1.0,618.300048828125,391.37017822265625,414.09959411621094,599.0010070800781,617.5838775634766,618.1568145751953,1.0820518732070923,0.6680359281599522,0.6118804216384888,0.9348649322986603,1.0524980187416073,1.0810855376720427,v_baseline_replay,0.0,0.016052713617682457,0.012510610104072839,0.012149115558713675,0.013900306075811386,0.014501151395961642,0.015742401173338295,2.0,1.375,1.0,2.0,2.0,2.0,0.28702396154403687,0.16213632142171264,0.15833301097154617,0.21981628239154816,0.24686066433787346,0.27899130210280415,0.11888586956521739,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0.0,16,0.0,204.4153594970703,63.968974599523634,63.25265693664551,111.58696746826172,120.78720893859864,134.36733825683592,0.375,204.4153594970703,146.4426670074463,137.7219696044922,180.4560317993164,203.81642150878906,204.29557189941406,2.445291757583618,0.6628560239408651,0.5846734046936035,1.1938026905059818,1.4202241063117982,1.9077313983440394,2.4461283683776855,0.6715465782263377,0.5905774235725403,1.209218358993531,1.4564440846443178,1.9664977931976313,pure_noise,90,0.2803928256034851,0.1575038186274469,0.15315784513950348,0.21315547823905945,0.24361898005008698,0.27303805649280544
5.0,1.3125,1.0,3.0,4.25,4.85,0.875,377.999755859375,238.1537744998932,277.3044128417969,363.3710174560547,369.8460693359375,376.3690185546875,1.3323941230773926,0.937291462905705,0.9512323141098022,1.2686938643455505,1.3007054030895233,1.3315992450714111,v_baseline_replay,0.0,0.019322894513607025,0.014932999678421766,0.01469623064622283,0.017602775245904922,0.01807991275563836,0.01907429816201329,2.0,1.5,2.0,2.0,2.0,2.0,0.318525105714798,0.18842467200011015,0.1837022677063942,0.2756499648094177,0.28723691403865814,0.31226746737957,0.036684782608695655,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0.125,16,0.125,250.87843322753906,50.77793708653189,44.76731300354004,103.18297424316407,115.94652442932131,143.6743730163574,0.625,250.87843322753906,164.52203559875488,149.41297912597656,231.16197204589844,250.78886032104492,250.86051864624022,2.773914337158203,0.9297015902626774,0.8833718299865723,1.5086867690086365,1.7623686611652376,2.015475471019745,3.9136409759521484,0.9419891377910972,0.891642302274704,1.5379583954811098,1.7891143143177037,2.1609343481063843,pure_noise,75,0.3099227547645569,0.1839547329582274,0.18552662432193756,0.2608562260866165,0.2739267945289612,0.3027235627174377
