variant,scope,condition_mode,gate_pass,all_source_gate_pass,source_pass_fraction,row_count,z_mse,z_max_abs,ordered_rmse_p95,segment_relative_error_p95,chain_relative_error_p95,v_target_mse
balanced_anchor_prior,all_timesteps,true,False,False,0.125,384,0.015086232237990112,4.839064314961433,0.022585285593778807,0.34262422065056997,0.15507483981139703,0.03806743770837784
balanced_anchor_prior,all_timesteps,zero,False,False,0.0,384,1.2966559455345308,7.471646308898926,0.19317415811707228,2.9741594824401294,1.0386059194912272,8.277353286743164
balanced_anchor_prior,all_timesteps,permuted,False,False,0.0,384,1.6657417972576,7.686110071837902,0.2971866364865438,0.6367774971249401,0.32892315051488996,10.816685676574707
balanced_anchor_prior,high_timesteps,true,False,False,0.125,192,0.02559701168877406,4.839063361287117,0.025336529702758445,0.4201430283743327,0.16590473683058454,0.02610761858522892
balanced_anchor_prior,high_timesteps,zero,False,False,0.0,192,1.356241056763983,7.471646308898926,0.2014647565443792,2.988679069749631,1.0636612897664903,1.4334696531295776
balanced_anchor_prior,high_timesteps,permuted,False,False,0.0,192,1.8564776057408472,7.735023856163025,0.31445335924556395,0.5680750267805724,0.25909576652593974,1.9588359594345093
balanced_frozen_prior,all_timesteps,true,True,True,1.0,384,6.100627014849927e-06,0.054598331451416016,0.000535458454624915,0.017833791785761045,0.0037601094055893522,1.0245291377941612e-05
balanced_frozen_prior,all_timesteps,zero,False,False,0.0,384,1.0586919367838066,7.447724789381027,0.19545520974353087,0.8731784995453624,0.5433863768109237,7.293957710266113
balanced_frozen_prior,all_timesteps,permuted,False,False,0.0,384,1.9799777018109914,7.822137117385864,0.2938970396237135,0.07372578832768767,0.03302598426066084,13.617096900939941
balanced_frozen_prior,high_timesteps,true,True,True,1.0,192,1.0909930112854402e-05,0.05459737777709961,0.0006628817980508077,0.023390358422114222,0.005217404290494718,1.120338674809318e-05
balanced_frozen_prior,high_timesteps,zero,False,False,0.0,192,1.056918583132696,7.447724789381027,0.19531729280256718,0.8710666718519517,0.5438772441765113,1.1182037591934204
balanced_frozen_prior,high_timesteps,permuted,False,False,0.0,192,2.029395511925387,7.769885271787643,0.27585475181554175,0.06868033907502465,0.03198968398434059,2.147137403488159
balanced_joint_fresh_optimizer,all_timesteps,true,False,False,0.125,384,0.008079643803808089,1.9315705299377441,0.016841734431342934,0.3773396943246693,0.17580244240813564,0.028906462714076042
balanced_joint_fresh_optimizer,all_timesteps,zero,False,False,0.0,384,1.1146491644939036,6.875238418579102,0.19227838848381723,2.2826883883665325,0.9136171654683202,6.753475666046143
balanced_joint_fresh_optimizer,all_timesteps,permuted,False,False,0.0,384,1.328619455383175,8.032611966133118,0.24729603119818094,0.8205136545244385,0.4789357388435146,6.793141841888428
balanced_joint_fresh_optimizer,high_timesteps,true,False,False,0.0625,192,0.012066513339395298,1.9315667152404785,0.021337030475311502,0.41531390084541936,0.19315049265461431,0.01255660131573677
balanced_joint_fresh_optimizer,high_timesteps,zero,False,False,0.0,192,1.221273551026326,6.875238478183746,0.19933860716620289,2.1264398978163617,0.8576888903684738,1.2896937131881714
balanced_joint_fresh_optimizer,high_timesteps,permuted,False,False,0.0,192,1.9521632891081568,7.846117690205574,0.3420480347963789,0.5717745447989614,0.326053207282749,2.056831121444702
current_joint_random_reused_optimizer,all_timesteps,true,False,False,0.125,384,0.05982398581295029,2.3417716026306152,0.06506623821266186,0.545532217098381,0.3471145581727705,0.40640631318092346
current_joint_random_reused_optimizer,all_timesteps,zero,False,False,0.0,384,1.0767087452825514,7.5745344161987305,0.2096359904576667,2.624516554974348,0.9229485250351706,5.947103023529053
current_joint_random_reused_optimizer,all_timesteps,permuted,False,False,0.0,384,1.3184198999957064,8.805805921554565,0.2014768466745095,0.7004181314452405,0.5251703691473795,7.087002277374268
current_joint_random_reused_optimizer,high_timesteps,true,False,False,0.125,192,0.04568786611560304,2.0809741020202637,0.03480362104235883,0.5074493251694749,0.3029823069805858,0.04863909259438515
current_joint_random_reused_optimizer,high_timesteps,zero,False,False,0.0,192,1.195908557593584,7.318777322769165,0.21612285425090616,2.5681172974782336,0.7925308546891711,1.2651630640029907
current_joint_random_reused_optimizer,high_timesteps,permuted,False,False,0.0,192,1.7279121238459958,8.378867149353027,0.20684651900995096,0.5802568124615574,0.3915861434867768,1.8191452026367188
random_anchor_prior,all_timesteps,true,False,False,0.0,384,0.11327179554791665,3.5458767414093018,0.11149312599730297,0.9387552073929298,0.4275848169343043,0.5916538238525391
random_anchor_prior,all_timesteps,zero,False,False,0.0,384,0.9349666439723068,6.78313684463501,0.1860606745683883,1.6822221333280951,0.3618264675607893,5.9642744064331055
random_anchor_prior,all_timesteps,permuted,False,False,0.0,384,1.64527758810706,7.806225687265396,0.2453792484707921,0.9774857663489211,0.449337146793996,10.585065841674805
random_anchor_prior,high_timesteps,true,False,False,0.0,192,0.1328619753671465,3.5458767414093018,0.11622152436021525,0.9334090965171867,0.43682382771295664,0.14021040499210358
random_anchor_prior,high_timesteps,zero,False,False,0.0,192,0.9736765183972296,6.768676042556763,0.1860913877743759,1.684234194780514,0.3575023686741652,1.0302060842514038
random_anchor_prior,high_timesteps,permuted,False,False,0.0,192,1.7740519155190757,7.812328144907951,0.2385830934833816,0.9295846157394915,0.4405257000406577,1.8758949041366577
