family,experiment,evaluation,source_id,gate_pass,row_count,z_mse,z_max_abs,ordered_rmse_p95,segment_relative_error_p95,chain_relative_error_p95
direct_condition,rows_16_width_1024,condition_to_x0,0,True,1,9.084303732521399e-15,4.76837158203125e-07,1.266423567055842e-08,3.109457093312164e-06,2.762548293696051e-07
direct_condition,rows_16_width_1024,condition_to_x0,1,True,1,1.1340714123085771e-14,4.76837158203125e-07,1.4096755567186012e-08,3.923444750177684e-06,3.968754104513746e-08
direct_condition,rows_16_width_1024,condition_to_x0,2,True,1,5.9724696439755764e-15,2.384185791015625e-07,9.942913105567432e-09,1.9741658996037737e-06,1.21968676337361e-07
direct_condition,rows_16_width_1024,condition_to_x0,3,True,1,1.2254311606250956e-14,4.76837158203125e-07,1.4862305427076696e-08,3.975628053922318e-06,2.15836819083266e-07
direct_condition,rows_16_width_1024,condition_to_x0,4,True,1,8.941231002118633e-15,3.5762786865234375e-07,1.2616076903297795e-08,3.051832733830452e-06,2.2543594663449896e-07
direct_condition,rows_16_width_1024,condition_to_x0,5,True,1,7.766665604285282e-15,2.384185791015625e-07,1.280445063347383e-08,2.358189734462039e-06,1.4694787372308295e-07
direct_condition,rows_16_width_1024,condition_to_x0,6,True,1,1.0578491930803476e-14,3.5762786865234375e-07,1.226437855727536e-08,2.3089203042757812e-06,2.3571236877793705e-07
direct_condition,rows_16_width_1024,condition_to_x0,7,True,1,1.7532000879995808e-14,4.76837158203125e-07,1.7104266520529153e-08,3.6941575347349582e-06,2.0961966587907345e-07
direct_condition,rows_16_width_1024,condition_to_x0,8,True,1,1.2208983823924768e-14,4.76837158203125e-07,1.7172739761495752e-08,3.6744943227465677e-06,2.1202333702240134e-07
direct_condition,rows_16_width_1024,condition_to_x0,9,True,1,3.316571057501369e-15,1.4901161193847656e-07,6.987132378597991e-09,1.5655890061145492e-06,9.690286413071182e-08
direct_condition,rows_16_width_1024,condition_to_x0,10,True,1,7.425368190686991e-15,3.5762786865234375e-07,1.4587417399474395e-08,2.074731382027963e-06,1.1734152555997841e-07
direct_condition,rows_16_width_1024,condition_to_x0,11,True,1,5.6905037684277606e-15,2.980232238769531e-07,9.903067463292561e-09,2.029842311784216e-06,5.070492426267997e-08
direct_condition,rows_16_width_1024,condition_to_x0,12,True,1,8.590639773616479e-15,3.5762786865234375e-07,1.1519824039985408e-08,2.2385522857767153e-06,6.788691487076821e-08
direct_condition,rows_16_width_1024,condition_to_x0,13,True,1,1.324115014923145e-14,4.76837158203125e-07,1.5760926728540646e-08,2.799326296753218e-06,2.1723252391816716e-07
direct_condition,rows_16_width_1024,condition_to_x0,14,True,1,1.1972088303273253e-14,4.172325134277344e-07,1.4213802637167772e-08,2.9097191530301004e-06,3.5786744812973905e-07
direct_condition,rows_16_width_1024,condition_to_x0,15,True,1,1.3155036277965812e-14,6.109476089477539e-07,1.3541535162084776e-08,2.8881724259070532e-06,2.0467709969426395e-07
direct_condition,rows_16_width_512,condition_to_x0,0,True,1,1.6675850304804857e-05,0.02194046974182129,0.000334650134804088,0.015604412182720144,0.004705504703141627
direct_condition,rows_16_width_512,condition_to_x0,1,True,1,4.4064623705169275e-05,0.0225827693939209,0.0008851870421301546,0.07120276093720834,0.00551411982388012
direct_condition,rows_16_width_512,condition_to_x0,2,True,1,4.92865077115451e-05,0.019977331161499023,0.0008778815940454595,0.03436389091313423,0.009131795719146352
