dim,mean,std,min,max,p99_abs,near_zero_std
0,0.5123855913346282,0.11606720200086615,0.25,0.734375,0.731249988079071,False
1,0.0010623693820303423,0.23564033687975894,-0.5,0.49687498807907104,0.4749999940395355,False
2,0.014930847662045117,0.004804994835057335,0.011651026085019112,0.03778839483857155,0.03753376379609108,False
3,0.0,0.0,0.0,0.0,0.0,True
4,0.0,0.0,0.0,0.0,0.0,True
5,0.0,0.0,0.0,0.0,0.0,True
6,1.0,0.0,1.0,1.0,1.0,True
7,0.5011042502073564,0.10031916196653859,0.3347148895263672,0.6684510111808777,0.6622224122285842,False
8,-0.017493448785465274,0.17509121527406962,-0.41758644580841064,0.3785068094730377,0.4013968423008919,False
9,-0.0011993695240417768,0.003473927435580506,-0.009085687808692455,0.009274940006434917,0.008776276512071492,False
10,0.0,0.0,0.0,0.0,0.0,True
11,0.0,0.0,0.0,0.0,0.0,True
12,0.0,0.0,0.0,0.0,0.0,True
13,1.0,0.0,1.0,1.0,1.0,True
