baseline,fold,seed,condition,visible_seed,window_t,action_ood_score,action_mse
paper_state,2,0,free,100006,3,3.5273444652557373,0.008836121298372746
paper_state,2,0,hidden_pin,100006,3,3.5273444652557373,0.008262665942311287
paper_state,2,0,hidden_high_friction,100006,3,3.5273444652557373,0.009093799628317356
paper_state,2,0,hidden_breakaway_pin,100006,3,3.5273444652557373,0.00973529927432537
state_action,2,0,free,100006,3,3.137760877609253,0.010313707403838634
state_action,2,0,hidden_pin,100006,3,3.137760877609253,0.008736853487789631
state_action,2,0,hidden_high_friction,100006,3,3.137760877609253,0.009115902706980705
state_action,2,0,hidden_breakaway_pin,100006,3,3.137760877609253,0.013612150214612484
paper_state,2,1,free,100006,1,2.8184006214141846,0.004710392095148563
paper_state,2,1,hidden_pin,100006,1,2.8184006214141846,0.002186959143728018
paper_state,2,1,hidden_high_friction,100006,1,2.8184006214141846,0.004789629019796848
paper_state,2,1,hidden_breakaway_pin,100006,1,2.8184006214141846,0.004505468998104334
state_action,2,1,free,100006,1,2.5927815437316895,0.004182017873972654
state_action,2,1,hidden_pin,100006,1,2.5927815437316895,0.0024594373535364866
state_action,2,1,hidden_high_friction,100006,1,2.5927815437316895,0.004334965255111456
state_action,2,1,hidden_breakaway_pin,100006,1,2.5927815437316895,0.0039162118919193745
paper_state,2,0,free,100006,1,2.5785388946533203,0.012234642170369625
paper_state,2,0,hidden_pin,100006,1,2.5785388946533203,0.026896800845861435
paper_state,2,0,hidden_high_friction,100006,1,2.5785388946533203,0.011866571381688118
paper_state,2,0,hidden_breakaway_pin,100006,1,2.5785388946533203,0.012676490470767021
paper_state,2,1,free,100006,3,2.3440041542053223,0.013706221245229244
paper_state,2,1,hidden_pin,100006,3,2.3440041542053223,0.01712140627205372
paper_state,2,1,hidden_high_friction,100006,3,2.3440041542053223,0.013769662007689476
paper_state,2,1,hidden_breakaway_pin,100006,3,2.3440041542053223,0.02080102451145649
paper_state,2,0,free,100005,3,2.2868916988372803,0.026918968185782433
paper_state,2,0,hidden_pin,100005,3,2.2868916988372803,0.01900501735508442
paper_state,2,0,hidden_high_friction,100005,3,2.2868916988372803,0.04585474729537964
paper_state,2,0,hidden_breakaway_pin,100005,3,2.2868916988372803,0.027224337682127953
state_action,2,1,free,100006,3,2.1969380378723145,0.013329578563570976
state_action,2,1,hidden_pin,100006,3,2.1969380378723145,0.01676950976252556
state_action,2,1,hidden_high_friction,100006,3,2.1969380378723145,0.013381685130298138
state_action,2,1,hidden_breakaway_pin,100006,3,2.1969380378723145,0.02049473114311695
state_action,2,1,free,100005,4,2.163134813308716,0.0058363513089716434
state_action,2,1,hidden_pin,100005,4,2.163134813308716,0.008393673226237297
state_action,2,1,hidden_high_friction,100005,4,2.163134813308716,0.004965321160852909
state_action,2,1,hidden_breakaway_pin,100005,4,2.163134813308716,0.005903283599764109
state_action,2,0,free,100006,1,2.1125714778900146,0.012796634808182716
state_action,2,0,hidden_pin,100006,1,2.1125714778900146,0.0329502671957016
state_action,2,0,hidden_high_friction,100006,1,2.1125714778900146,0.012595710344612598
state_action,2,0,hidden_breakaway_pin,100006,1,2.1125714778900146,0.01314449030905962
state_action,2,1,free,100006,2,2.0815014839172363,0.007843242958188057
state_action,2,1,hidden_pin,100006,2,2.0815014839172363,0.002981961937621236
state_action,2,1,hidden_high_friction,100006,2,2.0815014839172363,0.004884958732873201
state_action,2,1,hidden_breakaway_pin,100006,2,2.0815014839172363,0.00718516344204545
state_action,2,0,free,100005,3,2.0087289810180664,0.030487848445773125
state_action,2,0,hidden_pin,100005,3,2.0087289810180664,0.024002114310860634
state_action,2,0,hidden_high_friction,100005,3,2.0087289810180664,0.056978560984134674
state_action,2,0,hidden_breakaway_pin,100005,3,2.0087289810180664,0.03057144396007061
paper_state,2,1,free,100005,3,1.9454991817474365,0.0013435859000310302
paper_state,2,1,hidden_pin,100005,3,1.9454991817474365,0.0072767785750329494
