baseline,fold,seed,visible_seed,window_t,delta_hidden_minus_free_sample_wrong_branch_rate,delta_hidden_minus_free_future_chamfer_to_true,delta_hidden_minus_free_action_mse
paper_state,0,0,100000,0,0.59375,0.0015377923846244812,2.6728957891464233e-07
paper_state,0,0,100001,0,0.21875,0.00039127469062805176,-4.316680133342743e-07
paper_state,0,0,100002,0,-1.0,-0.005484461784362793,-1.2400560081005096e-05
paper_state,0,0,100003,0,0.25,0.0005601830780506134,6.076879799365997e-08
paper_state,0,0,100004,0,-0.59375,-0.0023407265543937683,-7.23448465578258e-07
paper_state,0,0,100005,0,-0.5,-0.001568622887134552,3.368244506418705e-06
paper_state,0,0,100005,1,-0.8125,-0.002273913472890854,0.0003294371999800205
paper_state,0,0,100005,2,-0.875,-0.0020885728299617767,-9.039626456797123e-05
paper_state,0,0,100005,3,-0.59375,-0.0017771422863006592,-1.0178540833294392e-05
paper_state,0,0,100005,4,-0.8125,-0.002424173057079315,0.000617150217294693
paper_state,0,0,100006,0,-0.9375,-0.003329843282699585,1.949956640601158e-09
paper_state,0,0,100006,1,-0.96875,-0.0033998191356658936,-0.00023386580869555473
paper_state,0,0,100006,2,-0.96875,-0.0037273839116096497,-0.00019599799998104572
paper_state,0,0,100006,3,-0.96875,-0.003695160150527954,0.006628654431551695
paper_state,0,0,100007,0,1.0,0.0073899999260902405,-9.476556442677975e-06
paper_state,0,0,100007,1,-0.375,-0.0019479691982269287,-0.007499861530959606
paper_state,0,0,100007,2,0.90625,0.002320416271686554,0.006146264262497425
paper_state,0,0,100007,3,1.0,0.00570514053106308,-0.0006345277652144432
paper_state,0,0,100007,4,1.0,0.0055116042494773865,-0.0002476548543199897
paper_state,0,0,100007,5,1.0,0.005603022873401642,0.0059908616822212934
paper_state,0,0,100007,6,1.0,0.00569520890712738,0.0010222727432847023
paper_state,0,0,100007,7,1.0,0.005650095641613007,-0.0002485765144228935
paper_state,0,0,100008,0,-0.84375,-0.0012934580445289612,2.8847716748714447e-07
paper_state,0,0,100008,1,-0.78125,-0.0010106861591339111,-7.357064168900251e-05
paper_state,0,0,100009,0,-0.9375,-0.0012895315885543823,-6.949994713068008e-07
paper_state,0,0,100010,0,-0.5625,-0.0021316781640052795,8.102506399154663e-08
paper_state,0,0,100011,0,-1.0,-0.0011257529258728027,1.4924444258213043e-07
paper_state,0,0,100012,0,-0.34375,-0.0010637268424034119,-1.2095551937818527e-07
paper_state,0,0,100013,0,-0.96875,-0.002037137746810913,-1.6624107956886292e-07
paper_state,0,0,100014,0,-0.34375,-0.0003166571259498596,-1.1327210813760757e-07
paper_state,0,0,100015,0,-0.625,-0.0009549856185913086,-5.793757736682892e-06
paper_state,0,0,100016,0,0.46875,0.0020134001970291138,-3.4319236874580383e-07
paper_state,0,0,100017,0,0.40625,0.0016894936561584473,-7.881317287683487e-06
paper_state,0,0,100018,0,-0.6875,-0.0015904754400253296,7.05476850271225e-08
paper_state,0,0,100019,0,1.0,0.0044540464878082275,-7.636845111846924e-08
paper_state,0,0,100020,0,-0.9375,-0.0022658556699752808,-2.0640436559915543e-07
paper_state,0,0,100021,0,-0.90625,-0.005057916045188904,1.3890676200389862e-06
paper_state,0,0,100022,0,0.84375,0.004024013876914978,-1.7299316823482513e-07
paper_state,0,0,100023,0,-1.0,-0.005457162857055664,-8.288770914077759e-07
paper_state,0,0,100023,1,-0.90625,-0.003941334784030914,0.0007863467326387763
paper_state,0,0,100023,2,-0.9375,-0.0038265883922576904,0.00067479582503438
paper_state,0,0,100024,0,-1.0,-0.003001198172569275,2.9848888516426086e-07
paper_state,0,0,100025,0,-0.21875,-0.00041531026363372803,-3.1047966331243515e-07
paper_state,0,0,100026,0,-1.0,-0.005456089973449707,1.2200325727462769e-07
paper_state,0,0,100027,0,-0.125,-0.0005350410938262939,-1.6996636986732483e-08
paper_state,0,0,100028,0,-0.90625,-0.002345949411392212,-2.0209699869155884e-07
paper_state,0,0,100029,0,-0.6875,-0.0015766769647598267,-6.845220923423767e-08
paper_state,0,1,100000,0,0.53125,0.001445963978767395,2.514570951461792e-07
paper_state,0,1,100001,0,0.53125,0.0009030923247337341,-4.6938657760620117e-07
paper_state,0,1,100002,0,-0.96875,-0.00529392808675766,-1.0977499186992645e-05
paper_state,0,1,100003,0,0.3125,0.0007791221141815186,5.3318217396736145e-08
paper_state,0,1,100004,0,-0.53125,-0.0021857284009456635,4.804809577763081e-06
paper_state,0,1,100005,0,-0.625,-0.002137809991836548,8.487259037792683e-07
paper_state,0,1,100005,1,-0.96875,-0.003291253000497818,0.00021667266264557838
paper_state,0,1,100005,2,-0.90625,-0.0033723898231983185,-8.282071212306619e-05
paper_state,0,1,100005,3,-0.90625,-0.0032085776329040527,-7.588166045024991e-05
paper_state,0,1,100005,4,-0.96875,-0.0036486685276031494,0.0004199342802166939
paper_state,0,1,100006,0,-0.9375,-0.003061555325984955,-1.1757947504520416e-08
paper_state,0,1,100006,1,-0.9375,-0.002869546413421631,-8.28104093670845e-05
paper_state,0,1,100006,2,-0.9375,-0.0032675638794898987,-4.770117811858654e-05
paper_state,0,1,100006,3,-1.0,-0.003259919583797455,0.006039175437763333
paper_state,0,1,100007,0,1.0,0.0065231770277023315,-1.6653677448630333e-05
paper_state,0,1,100007,1,-0.46875,-0.0019576847553253174,-0.008426100015640259
paper_state,0,1,100007,2,0.6875,0.001774229109287262,0.007226787507534027
paper_state,0,1,100007,3,1.0,0.0055743008852005005,-0.0009102672338485718
paper_state,0,1,100007,4,1.0,0.004912644624710083,-0.0004974105395376682
paper_state,0,1,100007,5,1.0,0.005007728934288025,0.009036955889314413
paper_state,0,1,100007,6,1.0,0.0048828125,0.0011869296431541443
paper_state,0,1,100007,7,1.0,0.004882216453552246,-0.00028594862669706345
paper_state,0,1,100008,0,-0.78125,-0.0014427825808525085,2.949964255094528e-07
paper_state,0,1,100008,1,-0.75,-0.0010816976428031921,-5.909474566578865e-06
paper_state,0,1,100009,0,-0.71875,-0.001031927764415741,-5.317851901054382e-07
paper_state,0,1,100010,0,-0.84375,-0.0027678534388542175,6.658956408500671e-08
paper_state,0,1,100011,0,-0.9375,-0.0012329816818237305,1.825392246246338e-07
paper_state,0,1,100012,0,-0.125,-0.00035934895277023315,-9.546056389808655e-08
paper_state,0,1,100013,0,-0.875,-0.0017495080828666687,-1.9371509552001953e-07
paper_state,0,1,100014,0,-0.15625,-0.0003272145986557007,-1.0011717677116394e-07
paper_state,0,1,100015,0,-0.5,-0.0007925964891910553,-5.55720180273056e-06
paper_state,0,1,100016,0,0.21875,0.0008353665471076965,-3.67872416973114e-07
paper_state,0,1,100017,0,0.8125,0.0023717135190963745,-1.718057319521904e-05
paper_state,0,1,100018,0,-0.4375,-0.0009087175130844116,5.506444722414017e-08
paper_state,0,1,100019,0,1.0,0.004459358751773834,-9.033828973770142e-08
paper_state,0,1,100020,0,-0.96875,-0.002617277204990387,-1.1059455573558807e-07
paper_state,0,1,100021,0,-0.96875,-0.005356714129447937,1.6345875337719917e-06
paper_state,0,1,100022,0,0.75,0.0033166855573654175,-3.0873343348503113e-07
paper_state,0,1,100023,0,-1.0,-0.0050193071365356445,-9.434297680854797e-07
paper_state,0,1,100023,1,-0.9375,-0.0035090744495391846,0.0004688433837145567
paper_state,0,1,100023,2,-0.875,-0.003524884581565857,0.0006703110411763191
paper_state,0,1,100024,0,-1.0,-0.002856031060218811,2.3096799850463867e-07
paper_state,0,1,100025,0,-0.5625,-0.0011420175433158875,-7.986091077327728e-08
paper_state,0,1,100026,0,-1.0,-0.004783958196640015,1.3457611203193665e-07
paper_state,0,1,100027,0,-0.5625,-0.0011275708675384521,-1.6763806343078613e-08
paper_state,0,1,100028,0,-0.875,-0.0023378655314445496,-1.4668330550193787e-07
paper_state,0,1,100029,0,-0.90625,-0.0019400641322135925,-7.520429790019989e-08
paper_state,1,0,100000,0,0.28125,0.0006841123104095459,5.529727786779404e-07
paper_state,1,0,100001,0,0.65625,0.0011656060814857483,-4.591420292854309e-07
paper_state,1,0,100002,0,-1.0,-0.005955353379249573,-1.3663433492183685e-05
paper_state,1,0,100003,0,0.09375,0.00048822537064552307,4.668254405260086e-08
paper_state,1,0,100004,0,-0.5625,-0.0019788332283496857,4.113215254619718e-06
paper_state,1,0,100005,0,-0.28125,-0.0007004216313362122,-2.3813918232917786e-06
paper_state,1,0,100005,1,-0.9375,-0.0023919232189655304,0.0003512604162096977
paper_state,1,0,100005,2,-0.96875,-0.0033026672899723053,2.0779247279278934e-05
paper_state,1,0,100005,3,-0.9375,-0.0030940882861614227,8.823868120089173e-05
paper_state,1,0,100005,4,-0.9375,-0.002834934741258621,0.00097671989351511
paper_state,1,0,100006,0,-0.96875,-0.002618931233882904,-3.7602148950099945e-08
paper_state,1,0,100006,1,-0.875,-0.002383112907409668,-9.714486077427864e-05
paper_state,1,0,100006,2,-0.96875,-0.002727724611759186,-0.00019800150766968727
paper_state,1,0,100006,3,-1.0,-0.002930290997028351,0.006492095533758402
paper_state,1,0,100007,0,1.0,0.005847468972206116,-1.3647135347127914e-05
paper_state,1,0,100007,1,-0.75,-0.0027219057083129883,-0.00824012840166688
paper_state,1,0,100007,2,0.75,0.0015461072325706482,0.005768271628767252
paper_state,1,0,100007,3,1.0,0.0047781988978385925,-0.00015497393906116486
paper_state,1,0,100007,4,1.0,0.004505753517150879,-0.0001064471434801817
paper_state,1,0,100007,5,1.0,0.004354149103164673,0.006110310088843107
paper_state,1,0,100007,6,1.0,0.004519253969192505,0.0011096131056547165
paper_state,1,0,100007,7,1.0,0.004628613591194153,-0.0003359764814376831
paper_state,1,0,100008,0,-0.75,-0.000951327383518219,2.183951437473297e-07
paper_state,1,0,100008,1,-0.625,-0.0007851384580135345,3.9859325625002384e-05
paper_state,1,0,100009,0,-0.65625,-0.0008955076336860657,-3.3061951398849487e-07
paper_state,1,0,100010,0,-1.0,-0.004713848233222961,2.3748725652694702e-08
