control_source,baseline,condition,visible_seed,motion_timeout,step,success,env_done,reward,final_fraction_before,final_fraction_after,delta_final_fraction,failure_reason,primitive,has_params,pose0_x,pose0_y,pose0_z,pose1_x,pose1_y,pose1_z,pose0_quat_norm,pose1_quat_norm,action_valid,action_repr,action_ood_score,clip_fraction,raw_action_norm,clipped_action_norm,gt_action_idx,selected_recoverable_config,primary_hidden_condition,diagnostic_hidden_condition,primary_pair,diagnostic_pair,rollout_runtime,num_env_steps_executed
oracle_action,,free,310000,5.0,0,0,0,0.0,0.0,0.0,0.0,,None,True,nan,nan,nan,nan,nan,nan,nan,nan,False,"{""camera_config"": [{""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [1.0, 0, 0.75], ""rotation"": [0.6532814824381883, 0.6532814824381884, -0.2705980500730986, -0.27059805007309845], ""zrange"": [0.01, 10.0], ""noise"": false}, {""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [0, 0.5, 0.75], ""rotation"": [-0.3596047974904982, 0.8681627791959909, -0.3159854101251621, 0.1308854423858669], ""zrange"": [0.01, 10.0], ""noise"": false}, {""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [0, -0.5, 0.75], ""rotation"": [-0.8681627791959909, 0.3596047974904982, -0.13088544238586683, 0.3159854101251621], ""zrange"": [0.01, 10.0], ""noise"": false}], ""primitive"": null}",nan,nan,nan,nan,,breakaway_force_2p6_disp_0p045_pull_0p36,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,tf_free_action_execution_diagnostic,1
oracle_action,,free,310000,5.0,1,0,0,0.20833333333333334,0.0,0.20833333333333334,0.20833333333333334,,pick_place,True,0.41875,0.234375,0.027959225699305534,0.402008980512619,-0.3036966621875763,-0.0006069047376513481,1.0,1.0,True,"{""camera_config"": [{""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [1.0, 0, 0.75], ""rotation"": [0.6532814824381883, 0.6532814824381884, -0.2705980500730986, -0.27059805007309845], ""zrange"": [0.01, 10.0], ""noise"": false}, {""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [0, 0.5, 0.75], ""rotation"": [-0.3596047974904982, 0.8681627791959909, -0.3159854101251621, 0.1308854423858669], ""zrange"": [0.01, 10.0], ""noise"": false}, {""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [0, -0.5, 0.75], ""rotation"": [-0.8681627791959909, 0.3596047974904982, -0.13088544238586683, 0.3159854101251621], ""zrange"": [0.01, 10.0], ""noise"": false}], ""primitive"": ""pick_place"", ""params"": {""pose0"": [[0.41875, 0.234375, 0.027959225699305534], [0.0, 0.0, 0.0, 1.0]], ""pose1"": [[0.402008980512619, -0.3036966621875763, -0.0006069047376513481], [0, 0, 0, 1]]}}",nan,nan,nan,nan,,breakaway_force_2p6_disp_0p045_pull_0p36,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,tf_free_action_execution_diagnostic,2
oracle_action,,free,310000,5.0,2,0,0,0.12499999999999997,0.20833333333333334,0.3333333333333333,0.12499999999999997,,pick_place,True,0.453125,-0.021874999999999978,0.013449883088469505,0.611901581287384,-0.1328013390302658,0.0011739472392946482,1.0,1.0,True,"{""camera_config"": [{""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [1.0, 0, 0.75], ""rotation"": [0.6532814824381883, 0.6532814824381884, -0.2705980500730986, -0.27059805007309845], ""zrange"": [0.01, 10.0], ""noise"": false}, {""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [0, 0.5, 0.75], ""rotation"": [-0.3596047974904982, 0.8681627791959909, -0.3159854101251621, 0.1308854423858669], ""zrange"": [0.01, 10.0], ""noise"": false}, {""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [0, -0.5, 0.75], ""rotation"": [-0.8681627791959909, 0.3596047974904982, -0.13088544238586683, 0.3159854101251621], ""zrange"": [0.01, 10.0], ""noise"": false}], ""primitive"": ""pick_place"", ""params"": {""pose0"": [[0.453125, -0.021874999999999978, 0.013449883088469505], [0.0, 0.0, 0.0, 1.0]], ""pose1"": [[0.611901581287384, -0.1328013390302658, 0.0011739472392946482], [0, 0, 0, 1]]}}",nan,nan,nan,nan,,breakaway_force_2p6_disp_0p045_pull_0p36,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,tf_free_action_execution_diagnostic,3
oracle_action,,free,310000,5.0,3,0,0,-0.08333333333333331,0.3333333333333333,0.25,-0.08333333333333331,,pick_place,True,0.40937500000000004,-0.29374999999999996,0.013617388904094696,0.36166903376579285,-0.34050726890563965,0.0033122755121439695,1.0,1.0,True,"{""camera_config"": [{""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [1.0, 0, 0.75], ""rotation"": [0.6532814824381883, 0.6532814824381884, -0.2705980500730986, -0.27059805007309845], ""zrange"": [0.01, 10.0], ""noise"": false}, {""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [0, 0.5, 0.75], ""rotation"": [-0.3596047974904982, 0.8681627791959909, -0.3159854101251621, 0.1308854423858669], ""zrange"": [0.01, 10.0], ""noise"": false}, {""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [0, -0.5, 0.75], ""rotation"": [-0.8681627791959909, 0.3596047974904982, -0.13088544238586683, 0.3159854101251621], ""zrange"": [0.01, 10.0], ""noise"": false}], ""primitive"": ""pick_place"", ""params"": {""pose0"": [[0.40937500000000004, -0.29374999999999996, 0.013617388904094696], [0.0, 0.0, 0.0, 1.0]], ""pose1"": [[0.36166903376579285, -0.34050726890563965, 0.0033122755121439695], [0, 0, 0, 1]]}}",nan,nan,nan,nan,,breakaway_force_2p6_disp_0p045_pull_0p36,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,tf_free_action_execution_diagnostic,4
oracle_action,,free,310000,5.0,4,0,0,0.375,0.25,0.625,0.375,,pick_place,True,0.478125,-0.1875,0.013145962730050087,0.5148710012435913,-0.2307964712381363,0.001036205911077559,1.0,1.0,True,"{""camera_config"": [{""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [1.0, 0, 0.75], ""rotation"": [0.6532814824381883, 0.6532814824381884, -0.2705980500730986, -0.27059805007309845], ""zrange"": [0.01, 10.0], ""noise"": false}, {""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [0, 0.5, 0.75], ""rotation"": [-0.3596047974904982, 0.8681627791959909, -0.3159854101251621, 0.1308854423858669], ""zrange"": [0.01, 10.0], ""noise"": false}, {""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [0, -0.5, 0.75], ""rotation"": [-0.8681627791959909, 0.3596047974904982, -0.13088544238586683, 0.3159854101251621], ""zrange"": [0.01, 10.0], ""noise"": false}], ""primitive"": ""pick_place"", ""params"": {""pose0"": [[0.478125, -0.1875, 0.013145962730050087], [0.0, 0.0, 0.0, 1.0]], ""pose1"": [[0.5148710012435913, -0.2307964712381363, 0.001036205911077559], [0, 0, 0, 1]]}}",nan,nan,nan,nan,,breakaway_force_2p6_disp_0p045_pull_0p36,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,tf_free_action_execution_diagnostic,5
oracle_action,,free,310000,5.0,5,0,0,0.125,0.625,0.75,0.125,,pick_place,True,0.5531250000000001,-0.16562499999999997,0.013092728331685066,0.5743154287338257,-0.17645952105522156,-0.00037160783540457487,1.0,1.0,True,"{""camera_config"": [{""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [1.0, 0, 0.75], ""rotation"": [0.6532814824381883, 0.6532814824381884, -0.2705980500730986, -0.27059805007309845], ""zrange"": [0.01, 10.0], ""noise"": false}, {""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [0, 0.5, 0.75], ""rotation"": [-0.3596047974904982, 0.8681627791959909, -0.3159854101251621, 0.1308854423858669], ""zrange"": [0.01, 10.0], ""noise"": false}, {""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [0, -0.5, 0.75], ""rotation"": [-0.8681627791959909, 0.3596047974904982, -0.13088544238586683, 0.3159854101251621], ""zrange"": [0.01, 10.0], ""noise"": false}], ""primitive"": ""pick_place"", ""params"": {""pose0"": [[0.5531250000000001, -0.16562499999999997, 0.013092728331685066], [0.0, 0.0, 0.0, 1.0]], ""pose1"": [[0.5743154287338257, -0.17645952105522156, -0.00037160783540457487], [0, 0, 0, 1]]}}",nan,nan,nan,nan,,breakaway_force_2p6_disp_0p045_pull_0p36,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,tf_free_action_execution_diagnostic,6
oracle_action,,free,310000,5.0,6,0,0,0.0,0.75,0.75,0.0,,pick_place,True,0.565625,-0.16249999999999998,0.013664697296917439,0.590018093585968,-0.15304720401763916,0.002273206366226077,1.0,1.0,True,"{""camera_config"": [{""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [1.0, 0, 0.75], ""rotation"": [0.6532814824381883, 0.6532814824381884, -0.2705980500730986, -0.27059805007309845], ""zrange"": [0.01, 10.0], ""noise"": false}, {""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [0, 0.5, 0.75], ""rotation"": [-0.3596047974904982, 0.8681627791959909, -0.3159854101251621, 0.1308854423858669], ""zrange"": [0.01, 10.0], ""noise"": false}, {""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [0, -0.5, 0.75], ""rotation"": [-0.8681627791959909, 0.3596047974904982, -0.13088544238586683, 0.3159854101251621], ""zrange"": [0.01, 10.0], ""noise"": false}], ""primitive"": ""pick_place"", ""params"": {""pose0"": [[0.565625, -0.16249999999999998, 0.013664697296917439], [0.0, 0.0, 0.0, 1.0]], ""pose1"": [[0.590018093585968, -0.15304720401763916, 0.002273206366226077], [0, 0, 0, 1]]}}",nan,nan,nan,nan,,breakaway_force_2p6_disp_0p045_pull_0p36,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,tf_free_action_execution_diagnostic,7
oracle_action,,free,310000,5.0,7,1,1,0.25,0.75,1.0,0.25,,pick_place,True,0.5843750000000001,-0.14687499999999998,0.01261481735855341,0.6280045509338379,-0.12871910631656647,-0.0049290345050394535,1.0,1.0,True,"{""camera_config"": [{""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [1.0, 0, 0.75], ""rotation"": [0.6532814824381883, 0.6532814824381884, -0.2705980500730986, -0.27059805007309845], ""zrange"": [0.01, 10.0], ""noise"": false}, {""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [0, 0.5, 0.75], ""rotation"": [-0.3596047974904982, 0.8681627791959909, -0.3159854101251621, 0.1308854423858669], ""zrange"": [0.01, 10.0], ""noise"": false}, {""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [0, -0.5, 0.75], ""rotation"": [-0.8681627791959909, 0.3596047974904982, -0.13088544238586683, 0.3159854101251621], ""zrange"": [0.01, 10.0], ""noise"": false}], ""primitive"": ""pick_place"", ""params"": {""pose0"": [[0.5843750000000001, -0.14687499999999998, 0.01261481735855341], [0.0, 0.0, 0.0, 1.0]], ""pose1"": [[0.6280045509338379, -0.12871910631656647, -0.0049290345050394535], [0, 0, 0, 1]]}}",nan,nan,nan,nan,,breakaway_force_2p6_disp_0p045_pull_0p36,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,tf_free_action_execution_diagnostic,8
gt_y_action_replay,,free,310000,5.0,0,0,0,0.0,0.0,0.0,0.0,,pick_place,True,0.668749988079071,0.40625,0.03550928086042404,0.3997460603713989,-0.016988500952720642,-0.00808842945843935,1.0,1.0,True,"{""camera_config"": [{""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [1.0, 0, 0.75], ""rotation"": [0.6532814824381883, 0.6532814824381884, -0.2705980500730986, -0.27059805007309845], ""zrange"": [0.01, 10.0], ""noise"": false}, {""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [0, 0.5, 0.75], ""rotation"": [-0.3596047974904982, 0.8681627791959909, -0.3159854101251621, 0.1308854423858669], ""zrange"": [0.01, 10.0], ""noise"": false}, {""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [0, -0.5, 0.75], ""rotation"": [-0.8681627791959909, 0.3596047974904982, -0.13088544238586683, 0.3159854101251621], ""zrange"": [0.01, 10.0], ""noise"": false}], ""primitive"": ""pick_place"", ""params"": {""pose0"": [[0.668749988079071, 0.40625, 0.03550928086042404], [0.0, 0.0, 0.0, 1.0]], ""pose1"": [[0.3997460603713989, -0.016988500952720642, -0.00808842945843935], [0.0, 0.0, 0.0, 1.0]]}}",nan,nan,1.665436029434204,1.665436029434204,0,breakaway_force_2p6_disp_0p045_pull_0p36,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,tf_free_action_execution_diagnostic,
learned_action,paper_state,free,310000,5.0,0,0,0,0.0,0.0,0.0,0.0,,pick_place,True,0.4002615809440613,0.19308887422084808,0.01598765328526497,0.48649513721466064,-0.054809410125017166,-0.003977756481617689,0.9999999403953554,1.0000000000000002,True,"{""camera_config"": [{""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [1.0, 0, 0.75], ""rotation"": [0.6532814824381883, 0.6532814824381884, -0.2705980500730986, -0.27059805007309845], ""zrange"": [0.01, 10.0], ""noise"": false}, {""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [0, 0.5, 0.75], ""rotation"": [-0.3596047974904982, 0.8681627791959909, -0.3159854101251621, 0.1308854423858669], ""zrange"": [0.01, 10.0], ""noise"": false}, {""image_size"": [480, 640], ""intrinsics"": [450.0, 0, 320.0, 0, 450.0, 240.0, 0, 0, 1], ""position"": [0, -0.5, 0.75], ""rotation"": [-0.8681627791959909, 0.3596047974904982, -0.13088544238586683, 0.3159854101251621], ""zrange"": [0.01, 10.0], ""noise"": false}], ""primitive"": ""pick_place"", ""params"": {""pose0"": [[0.4002615809440613, 0.19308887422084808, 0.01598765328526497], [-2.019080369564108e-08, -3.888655619732617e-09, 2.982158298081572e-09, 0.9999999403953552]], ""pose1"": [[0.48649513721466064, -0.054809410125017166, -0.003977756481617689], [-6.430049825922879e-09, -9.020736158049658e-09, -1.9421458219426313e-08, 1.0]]}}",0.48957833647727966,0.0,1.561232089996338,1.561232089996338,,breakaway_force_2p6_disp_0p045_pull_0p36,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,tf_free_action_execution_diagnostic,
