baseline,condition,window_idx,action_source,dim,path,dim_name,component,gt_value,pred_value,signed_error,abs_error
paper_state,free,0,idm_gt_future,0,params/pose0/0/0,00:params/pose0/0/0,pose0_xyz,0.668749988079071,0.6872899532318115,0.01853996515274048,0.01853996515274048
paper_state,free,0,idm_gt_future,1,params/pose0/0/1,01:params/pose0/0/1,pose0_xyz,0.40625,0.37839624285697937,-0.02785375714302063,0.02785375714302063
paper_state,free,0,idm_gt_future,2,params/pose0/0/2,02:params/pose0/0/2,pose0_xyz,0.03550928086042404,0.02587382309138775,-0.009635457769036293,0.009635457769036293
paper_state,free,0,idm_gt_future,3,params/pose0/1/0,03:params/pose0/1/0,pose0_quat,0.0,-5.5747396032757024e-08,-5.5747396032757024e-08,5.5747396032757024e-08
paper_state,free,0,idm_gt_future,4,params/pose0/1/1,04:params/pose0/1/1,pose0_quat,0.0,6.306841715542078e-10,6.306841715542078e-10,6.306841715542078e-10
paper_state,free,0,idm_gt_future,5,params/pose0/1/2,05:params/pose0/1/2,pose0_quat,0.0,2.0122752353302076e-09,2.0122752353302076e-09,2.0122752353302076e-09
paper_state,free,0,idm_gt_future,6,params/pose0/1/3,06:params/pose0/1/3,pose0_quat,1.0,1.0,0.0,0.0
paper_state,free,0,idm_gt_future,7,params/pose1/0/0,07:params/pose1/0/0,pose1_xyz,0.3997460603713989,0.38476863503456116,-0.014977425336837769,0.014977425336837769
paper_state,free,0,idm_gt_future,8,params/pose1/0/1,08:params/pose1/0/1,pose1_xyz,-0.016988500952720642,-0.012341138906776905,0.004647362045943737,0.004647362045943737
paper_state,free,0,idm_gt_future,9,params/pose1/0/2,09:params/pose1/0/2,pose1_xyz,-0.00808842945843935,0.002450771862640977,0.010539201088249683,0.010539201088249683
paper_state,free,0,idm_gt_future,10,params/pose1/1/0,10:params/pose1/1/0,pose1_quat,0.0,4.7320277474227623e-08,4.7320277474227623e-08,4.7320277474227623e-08
paper_state,free,0,idm_gt_future,11,params/pose1/1/1,11:params/pose1/1/1,pose1_quat,0.0,-4.955422738817106e-08,-4.955422738817106e-08,4.955422738817106e-08
paper_state,free,0,idm_gt_future,12,params/pose1/1/2,12:params/pose1/1/2,pose1_quat,0.0,-3.4006575333478395e-08,-3.4006575333478395e-08,3.4006575333478395e-08
paper_state,free,0,idm_gt_future,13,params/pose1/1/3,13:params/pose1/1/3,pose1_quat,1.0,0.9999999403953552,-5.960464477539063e-08,5.960464477539063e-08
paper_state,free,0,idm_pred_future,0,params/pose0/0/0,00:params/pose0/0/0,pose0_xyz,0.668749988079071,0.721515417098999,0.05276542901992798,0.05276542901992798
paper_state,free,0,idm_pred_future,1,params/pose0/0/1,01:params/pose0/0/1,pose0_xyz,0.40625,0.3531084358692169,-0.05314156413078308,0.05314156413078308
paper_state,free,0,idm_pred_future,2,params/pose0/0/2,02:params/pose0/0/2,pose0_xyz,0.03550928086042404,0.019975315779447556,-0.015533965080976486,0.015533965080976486
paper_state,free,0,idm_pred_future,3,params/pose0/1/0,03:params/pose0/1/0,pose0_quat,0.0,6.002129016025037e-09,6.002129016025037e-09,6.002129016025037e-09
paper_state,free,0,idm_pred_future,4,params/pose0/1/1,04:params/pose0/1/1,pose0_quat,0.0,4.39584972866669e-08,4.39584972866669e-08,4.39584972866669e-08
paper_state,free,0,idm_pred_future,5,params/pose0/1/2,05:params/pose0/1/2,pose0_quat,0.0,-4.6206270809534544e-08,-4.6206270809534544e-08,4.6206270809534544e-08
paper_state,free,0,idm_pred_future,6,params/pose0/1/3,06:params/pose0/1/3,pose0_quat,1.0,1.0,0.0,0.0
paper_state,free,0,idm_pred_future,7,params/pose1/0/0,07:params/pose1/0/0,pose1_xyz,0.3997460603713989,0.5692066550254822,0.16946059465408325,0.16946059465408325
paper_state,free,0,idm_pred_future,8,params/pose1/0/1,08:params/pose1/0/1,pose1_xyz,-0.016988500952720642,-0.18592217564582825,-0.1689336746931076,0.1689336746931076
paper_state,free,0,idm_pred_future,9,params/pose1/0/2,09:params/pose1/0/2,pose1_xyz,-0.00808842945843935,-0.0008300460176542401,0.007258383557200432,0.007258383557200432
paper_state,free,0,idm_pred_future,10,params/pose1/1/0,10:params/pose1/1/0,pose1_quat,0.0,1.523805437386727e-08,1.523805437386727e-08,1.523805437386727e-08
paper_state,free,0,idm_pred_future,11,params/pose1/1/1,11:params/pose1/1/1,pose1_quat,0.0,-6.603768554214184e-08,-6.603768554214184e-08,6.603768554214184e-08
paper_state,free,0,idm_pred_future,12,params/pose1/1/2,12:params/pose1/1/2,pose1_quat,0.0,1.293156248749483e-09,1.293156248749483e-09,1.293156248749483e-09
paper_state,free,0,idm_pred_future,13,params/pose1/1/3,13:params/pose1/1/3,pose1_quat,1.0,0.9999999403953552,-5.960464477539063e-08,5.960464477539063e-08
paper_state,free,4,idm_gt_future,0,params/pose0/0/0,00:params/pose0/0/0,pose0_xyz,0.6000000238418579,0.6340979337692261,0.034097909927368164,0.034097909927368164
paper_state,free,4,idm_gt_future,1,params/pose0/0/1,01:params/pose0/0/1,pose0_xyz,0.23125000298023224,0.3086932301521301,0.07744322717189789,0.07744322717189789
paper_state,free,4,idm_gt_future,2,params/pose0/0/2,02:params/pose0/0/2,pose0_xyz,0.013128692284226418,0.015534686855971813,0.0024059945717453957,0.0024059945717453957
paper_state,free,4,idm_gt_future,3,params/pose0/1/0,03:params/pose0/1/0,pose0_quat,0.0,7.186086836696859e-09,7.186086836696859e-09,7.186086836696859e-09
paper_state,free,4,idm_gt_future,4,params/pose0/1/1,04:params/pose0/1/1,pose0_quat,0.0,-3.090096711844126e-08,-3.090096711844126e-08,3.090096711844126e-08
paper_state,free,4,idm_gt_future,5,params/pose0/1/2,05:params/pose0/1/2,pose0_quat,0.0,-9.036448034294153e-09,-9.036448034294153e-09,9.036448034294153e-09
paper_state,free,4,idm_gt_future,6,params/pose0/1/3,06:params/pose0/1/3,pose0_quat,1.0,1.0,0.0,0.0
paper_state,free,4,idm_gt_future,7,params/pose1/0/0,07:params/pose1/0/0,pose1_xyz,0.6216307878494263,0.6389330625534058,0.017302274703979492,0.017302274703979492
paper_state,free,4,idm_gt_future,8,params/pose1/0/1,08:params/pose1/0/1,pose1_xyz,0.18776901066303253,0.11077744513750076,-0.07699156552553177,0.07699156552553177
paper_state,free,4,idm_gt_future,9,params/pose1/0/2,09:params/pose1/0/2,pose1_xyz,0.0047466750256717205,0.0037453784607350826,-0.0010012965649366379,0.0010012965649366379
paper_state,free,4,idm_gt_future,10,params/pose1/1/0,10:params/pose1/1/0,pose1_quat,0.0,-3.4178714969357316e-08,-3.4178714969357316e-08,3.4178714969357316e-08
paper_state,free,4,idm_gt_future,11,params/pose1/1/1,11:params/pose1/1/1,pose1_quat,0.0,2.6593992785706178e-08,2.6593992785706178e-08,2.6593992785706178e-08
paper_state,free,4,idm_gt_future,12,params/pose1/1/2,12:params/pose1/1/2,pose1_quat,0.0,1.7295310072995562e-08,1.7295310072995562e-08,1.7295310072995562e-08
paper_state,free,4,idm_gt_future,13,params/pose1/1/3,13:params/pose1/1/3,pose1_quat,1.0,1.0,0.0,0.0
paper_state,free,4,idm_pred_future,0,params/pose0/0/0,00:params/pose0/0/0,pose0_xyz,0.6000000238418579,0.6205981373786926,0.020598113536834717,0.020598113536834717
